Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
-2,2,4.0,2.5,1.5,2.5,1.5,0.0,1.0,0.0,2.5,0.0
-1,2,7.5,5.5,2.0,5.5,2.0,0.0,2.5,1.0,4.5,1.0
0,7,2.857142857142857,1.8571428571428572,1.0,2.7142857142857144,1.0,0.0,1.7142857142857142,0.0,2.7142857142857144,0.0
1,15,2.8666666666666667,0.9333333333333333,1.9333333333333333,3.0,1.4666666666666666,0.06666666666666667,1.3333333333333333,0.13333333333333333,2.8,0.2
2,17,2.7058823529411766,1.7058823529411764,1.0,3.411764705882353,1.2941176470588236,0.058823529411764705,2.0,0.058823529411764705,3.2941176470588234,0.11764705882352941
3,10,2.7,1.7,1.0,3.7,1.4,0.0,2.1,0.2,3.5,0.2
4,17,2.7058823529411766,1.411764705882353,1.2941176470588236,4.235294117647059,2.1176470588235294,0.058823529411764705,1.9411764705882353,0.11764705882352941,4.0588235294117645,0.17647058823529413
5,26,3.076923076923077,1.2307692307692308,1.8461538461538463,3.6538461538461537,1.5769230769230769,0.15384615384615385,1.8846153846153846,0.038461538461538464,3.4615384615384617,0.19230769230769232
6,32,2.5625,1.71875,0.84375,2.8125,1.15625,0.03125,1.5625,0.0625,2.71875,0.09375
7,17,2.8823529411764706,1.1764705882352942,1.7058823529411764,2.176470588235294,1.0588235294117647,0.0,0.8823529411764706,0.23529411764705882,1.9411764705882353,0.23529411764705882
8,26,2.5,1.5769230769230769,0.9230769230769231,3.5,1.5,0.038461538461538464,1.8076923076923077,0.15384615384615385,3.3076923076923075,0.19230769230769232
9,19,3.473684210526316,1.7894736842105263,1.6842105263157894,3.3684210526315788,1.2105263157894737,0.05263157894736842,1.8421052631578947,0.2631578947368421,3.0526315789473686,0.3157894736842105
10,20,2.85,1.9,0.95,3.0,1.15,0.05,1.75,0.05,2.9,0.1
11,17,2.588235294117647,1.6470588235294117,0.9411764705882353,3.588235294117647,1.7058823529411764,0.0,1.8823529411764706,0.0,3.588235294117647,0.0
12,15,2.6666666666666665,1.2,1.4666666666666666,4.866666666666666,1.9333333333333333,0.3333333333333333,2.3333333333333335,0.26666666666666666,4.266666666666667,0.6
13,14,2.5714285714285716,1.2857142857142858,1.2857142857142858,3.5714285714285716,1.5714285714285714,0.07142857142857142,1.9285714285714286,0.0,3.5,0.07142857142857142
14,11,2.909090909090909,2.0,0.9090909090909091,3.6363636363636362,1.8181818181818181,0.09090909090909091,1.6363636363636365,0.09090909090909091,3.4545454545454546,0.18181818181818182
15,12,3.1666666666666665,2.1666666666666665,1.0,3.75,1.25,0.08333333333333333,2.25,0.16666666666666666,3.5,0.25
16,5,2.4,1.2,1.2,4.6,2.4,0.0,2.0,0.2,4.4,0.2
17,6,5.0,2.8333333333333335,2.1666666666666665,3.0,1.3333333333333333,0.0,1.6666666666666667,0.0,3.0,0.0
18,4,2.5,1.75,0.75,3.75,1.75,0.0,2.0,0.0,3.75,0.0
19,2,3.0,0.5,2.5,3.0,1.0,0.0,2.0,0.0,3.0,0.0
