Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,4.0,3.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0
0,7,2.2857142857142856,0.8571428571428571,1.4285714285714286,3.2857142857142856,1.8571428571428572,0.0,1.4285714285714286,0.0,3.2857142857142856,0.0
1,7,3.857142857142857,2.2857142857142856,1.5714285714285714,4.0,1.8571428571428572,0.14285714285714285,2.0,0.0,3.857142857142857,0.14285714285714285
2,16,2.375,1.625,0.75,4.0625,1.75,0.0,2.125,0.1875,3.875,0.1875
3,11,1.8181818181818181,0.8181818181818182,1.0,4.0,1.4545454545454546,0.0,2.5454545454545454,0.0,4.0,0.0
4,15,2.533333333333333,1.1333333333333333,1.4,3.8,1.4,0.3333333333333333,1.8666666666666667,0.2,3.2666666666666666,0.5333333333333333
5,11,2.6363636363636362,1.0909090909090908,1.5454545454545454,3.727272727272727,1.6363636363636365,0.0,1.9090909090909092,0.18181818181818182,3.5454545454545454,0.18181818181818182
6,18,3.111111111111111,1.5,1.6111111111111112,3.0,1.4444444444444444,0.0,1.5,0.05555555555555555,2.9444444444444446,0.05555555555555555
7,10,3.3,2.2,1.1,3.8,1.9,0.1,1.6,0.2,3.5,0.3
8,15,2.7333333333333334,1.6666666666666667,1.0666666666666667,3.466666666666667,1.8666666666666667,0.0,1.6,0.0,3.466666666666667,0.0
9,19,3.3157894736842106,2.4210526315789473,0.8947368421052632,3.3684210526315788,1.6842105263157894,0.10526315789473684,1.4736842105263157,0.10526315789473684,3.1578947368421053,0.21052631578947367
10,15,2.7333333333333334,1.4666666666666666,1.2666666666666666,3.2,1.8666666666666667,0.2,1.1333333333333333,0.0,3.0,0.2
11,8,3.0,1.75,1.25,3.625,1.125,0.125,2.375,0.0,3.5,0.125
12,17,2.7058823529411766,1.5294117647058822,1.1764705882352942,3.5294117647058822,1.8823529411764706,0.0,1.6470588235294117,0.0,3.5294117647058822,0.0
13,10,3.3,2.2,1.1,2.7,1.2,0.0,1.5,0.0,2.7,0.0
14,8,2.5,1.0,1.5,3.875,1.75,0.125,2.0,0.0,3.75,0.125
15,6,2.8333333333333335,1.5,1.3333333333333333,2.8333333333333335,1.3333333333333333,0.0,1.5,0.0,2.8333333333333335,0.0
16,7,2.142857142857143,0.8571428571428571,1.2857142857142858,4.714285714285714,1.7142857142857142,0.2857142857142857,2.7142857142857144,0.0,4.428571428571429,0.2857142857142857
17,6,4.0,2.1666666666666665,1.8333333333333333,4.333333333333333,1.8333333333333333,0.0,2.5,0.0,4.333333333333333,0.0
18,2,4.0,2.5,1.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
