Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
1,4,3.0,1.25,1.75,2.25,1.25,0.0,1.0,0.0,2.25,0.0
3,1,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
4,2,2.0,1.0,1.0,2.5,0.5,0.5,1.5,0.0,2.0,0.5
5,1,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,3,2.3333333333333335,0.6666666666666666,1.6666666666666667,4.666666666666667,2.6666666666666665,0.3333333333333333,1.6666666666666667,0.0,4.333333333333333,0.3333333333333333
8,3,0.6666666666666666,0.3333333333333333,0.3333333333333333,3.0,1.3333333333333333,0.0,1.6666666666666667,0.0,3.0,0.0
9,1,1.0,0.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
11,3,1.6666666666666667,0.0,1.6666666666666667,3.0,1.6666666666666667,0.0,1.3333333333333333,0.0,3.0,0.0
13,2,2.0,0.5,1.5,2.5,0.5,0.0,2.0,0.0,2.5,0.0
14,2,2.0,0.5,1.5,3.0,2.0,0.0,1.0,0.0,3.0,0.0
17,1,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
