Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,4,3.25,2.25,1.0,4.0,2.25,0.25,1.25,0.25,3.5,0.5
1,1,2.0,2.0,0.0,5.0,0.0,0.0,4.0,1.0,4.0,1.0
2,2,2.0,1.5,0.5,2.5,0.5,0.0,2.0,0.0,2.5,0.0
6,2,1.5,1.0,0.5,3.5,2.0,0.5,1.0,0.0,3.0,0.5
9,2,3.0,3.0,0.0,1.5,0.5,0.0,1.0,0.0,1.5,0.0
10,1,2.0,0.0,2.0,6.0,3.0,1.0,2.0,0.0,5.0,1.0
12,2,5.5,4.5,1.0,1.5,0.5,0.0,1.0,0.0,1.5,0.0
13,1,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,1,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
16,1,3.0,1.0,2.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
18,1,3.0,1.0,2.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
