Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
2,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,5.5,3.0,2.5,5.5,1.5,0.0,4.0,0.0,5.5,0.0
5,1,5.0,2.0,3.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
6,3,1.6666666666666667,0.6666666666666666,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
7,3,2.6666666666666665,2.3333333333333335,0.3333333333333333,2.3333333333333335,0.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,2.0,0.3333333333333333
8,2,2.5,1.5,1.0,4.5,2.5,0.5,1.0,0.5,3.5,1.0
9,6,3.0,2.0,1.0,1.5,0.3333333333333333,0.0,1.0,0.16666666666666666,1.3333333333333333,0.16666666666666666
10,3,2.6666666666666665,1.0,1.6666666666666667,6.0,1.3333333333333333,1.0,3.3333333333333335,0.3333333333333333,4.666666666666667,1.3333333333333333
11,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
12,1,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
13,2,2.5,1.5,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.5
14,5,2.0,1.2,0.8,4.0,1.8,0.2,1.8,0.2,3.6,0.4
15,1,3.0,3.0,0.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
16,2,4.5,2.0,2.5,2.0,0.0,0.0,2.0,0.0,2.0,0.0
17,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
