Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,2.0,1.5,0.5,4.0,1.5,0.5,2.0,0.0,3.5,0.5
2,1,0.0,0.0,0.0,5.0,2.0,0.0,2.0,1.0,4.0,1.0
4,1,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,3,2.6666666666666665,2.0,0.6666666666666666,5.666666666666667,3.6666666666666665,0.0,2.0,0.0,5.666666666666667,0.0
7,2,2.5,1.0,1.5,4.0,1.5,0.0,2.5,0.0,4.0,0.0
9,2,2.5,2.5,0.0,5.0,0.0,0.5,4.0,0.5,4.0,1.0
10,1,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
14,2,3.0,1.5,1.5,4.5,2.5,0.5,1.5,0.0,4.0,0.5
15,1,5.0,3.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
16,1,2.0,1.0,1.0,5.0,2.0,1.0,2.0,0.0,4.0,1.0
