Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,3,1.6666666666666667,1.3333333333333333,0.3333333333333333,3.6666666666666665,1.3333333333333333,0.0,2.3333333333333335,0.0,3.6666666666666665,0.0
-1,4,2.5,1.5,1.0,4.0,0.5,0.0,3.5,0.0,4.0,0.0
0,7,3.142857142857143,1.1428571428571428,2.0,2.2857142857142856,1.2857142857142858,0.0,1.0,0.0,2.2857142857142856,0.0
1,14,3.0,2.357142857142857,0.6428571428571429,3.142857142857143,1.0714285714285714,0.0,1.9285714285714286,0.14285714285714285,3.0,0.14285714285714285
2,14,2.357142857142857,1.6428571428571428,0.7142857142857143,2.857142857142857,1.1428571428571428,0.14285714285714285,1.5714285714285714,0.0,2.7142857142857144,0.14285714285714285
3,10,1.5,0.8,0.7,2.9,1.1,0.0,1.6,0.2,2.7,0.2
4,10,2.6,0.9,1.7,1.6,0.6,0.0,0.9,0.1,1.5,0.1
5,27,3.3703703703703702,2.111111111111111,1.2592592592592593,2.888888888888889,1.1851851851851851,0.07407407407407407,1.4814814814814814,0.14814814814814814,2.6666666666666665,0.2222222222222222
6,20,2.85,1.85,1.0,2.75,1.05,0.05,1.55,0.1,2.6,0.15
7,24,3.0416666666666665,2.0,1.0416666666666667,2.875,1.375,0.0,1.4166666666666667,0.08333333333333333,2.7916666666666665,0.08333333333333333
8,18,2.9444444444444446,1.5555555555555556,1.3888888888888888,3.2777777777777777,1.4444444444444444,0.0,1.7777777777777777,0.05555555555555555,3.2222222222222223,0.05555555555555555
9,16,3.0625,1.875,1.1875,2.25,1.0625,0.0,1.0,0.1875,2.0625,0.1875
10,16,2.625,1.375,1.25,2.4375,1.25,0.1875,0.9375,0.0625,2.1875,0.25
11,15,2.0,1.4,0.6,2.7333333333333334,0.8666666666666667,0.0,1.7333333333333334,0.13333333333333333,2.6,0.13333333333333333
12,10,2.2,1.4,0.8,3.8,1.3,0.1,2.3,0.1,3.6,0.2
13,14,2.0714285714285716,1.0714285714285714,1.0,4.285714285714286,1.2142857142857142,0.0,2.7857142857142856,0.2857142857142857,4.0,0.2857142857142857
14,8,2.375,1.0,1.375,2.125,0.75,0.0,1.25,0.125,2.0,0.125
15,8,2.875,1.5,1.375,2.625,0.75,0.125,1.625,0.125,2.375,0.25
16,9,2.7777777777777777,1.5555555555555556,1.2222222222222223,2.2222222222222223,1.4444444444444444,0.0,0.7777777777777778,0.0,2.2222222222222223,0.0
17,5,2.8,1.0,1.8,4.4,2.4,0.0,2.0,0.0,4.4,0.0
18,2,1.5,0.5,1.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
19,1,6.0,1.0,5.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
22,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
