Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,3.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
2,3,2.6666666666666665,1.3333333333333333,1.3333333333333333,3.0,1.6666666666666667,0.0,1.3333333333333333,0.0,3.0,0.0
4,4,1.75,1.0,0.75,3.25,1.5,0.0,1.75,0.0,3.25,0.0
5,1,2.0,0.0,2.0,7.0,2.0,0.0,4.0,1.0,6.0,1.0
7,4,2.75,1.25,1.5,3.25,2.0,0.0,1.0,0.25,3.0,0.25
9,3,3.0,2.3333333333333335,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,2.6666666666666665,0.0
10,2,1.0,0.5,0.5,4.5,2.5,0.0,2.0,0.0,4.5,0.0
12,2,2.0,1.0,1.0,2.5,1.5,0.0,1.0,0.0,2.5,0.0
13,1,4.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
14,2,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
15,1,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
16,2,0.5,0.0,0.5,5.5,2.5,0.0,3.0,0.0,5.5,0.0
