Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
2,1,4.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
3,1,5.0,2.0,3.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
4,3,2.0,1.0,1.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
6,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
7,1,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8,1,2.0,1.0,1.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
9,3,2.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,0.6666666666666666,0.0,1.3333333333333333,0.6666666666666666,2.0,0.6666666666666666
11,2,2.5,1.0,1.5,4.5,2.5,0.0,2.0,0.0,4.5,0.0
13,3,3.0,2.6666666666666665,0.3333333333333333,3.3333333333333335,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,3.0,0.3333333333333333
19,1,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
