Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,2.0,1.5,0.5,3.0,1.0,0.0,2.0,0.0,3.0,0.0
1,1,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,4,3.25,1.75,1.5,2.0,0.75,0.25,0.75,0.25,1.5,0.5
6,3,1.6666666666666667,1.3333333333333333,0.3333333333333333,4.0,1.3333333333333333,0.0,2.6666666666666665,0.0,4.0,0.0
7,1,3.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
8,1,4.0,2.0,2.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
9,1,2.0,1.0,1.0,7.0,2.0,0.0,5.0,0.0,7.0,0.0
10,1,3.0,2.0,1.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
11,2,3.0,2.0,1.0,1.5,1.0,0.0,0.5,0.0,1.5,0.0
13,1,2.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
14,2,4.5,2.0,2.5,4.5,2.0,0.5,2.0,0.0,4.0,0.5
18,1,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
