Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,1.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
1,1,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1.0,0.0,1.0,2.5,2.0,0.0,0.5,0.0,2.5,0.0
5,3,2.0,1.0,1.0,3.6666666666666665,1.0,0.0,2.3333333333333335,0.3333333333333333,3.3333333333333335,0.3333333333333333
6,5,3.6,1.8,1.8,2.4,0.8,0.2,1.4,0.0,2.2,0.2
7,5,2.0,1.6,0.4,3.0,1.2,0.2,1.4,0.2,2.6,0.4
8,6,3.6666666666666665,2.0,1.6666666666666667,3.6666666666666665,1.8333333333333333,0.0,1.6666666666666667,0.16666666666666666,3.5,0.16666666666666666
9,3,3.3333333333333335,2.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.0,1.0,0.0,1.6666666666666667,0.0
10,2,3.0,1.5,1.5,4.0,1.0,0.0,2.5,0.5,3.5,0.5
11,1,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
12,1,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
13,2,2.0,1.0,1.0,2.0,0.0,0.0,1.5,0.5,1.5,0.5
14,2,0.5,0.0,0.5,2.5,1.5,0.0,1.0,0.0,2.5,0.0
16,1,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
18,1,3.0,2.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0
21,1,5.0,2.0,3.0,4.0,0.0,1.0,3.0,0.0,3.0,1.0
