Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3.0,0.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
2,1,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
3,6,3.1666666666666665,2.0,1.1666666666666667,2.0,1.0,0.0,0.8333333333333334,0.16666666666666666,1.8333333333333333,0.16666666666666666
4,3,4.0,1.3333333333333333,2.6666666666666665,4.0,2.0,0.3333333333333333,1.6666666666666667,0.0,3.6666666666666665,0.3333333333333333
5,5,4.2,2.8,1.4,2.8,0.4,0.0,2.4,0.0,2.8,0.0
6,1,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
7,2,5.0,3.5,1.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
8,3,2.3333333333333335,1.3333333333333333,1.0,6.0,3.0,0.0,2.6666666666666665,0.3333333333333333,5.666666666666667,0.3333333333333333
9,2,2.5,2.5,0.0,5.0,1.5,0.0,3.5,0.0,5.0,0.0
10,1,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
11,1,4.0,4.0,0.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0
12,3,3.6666666666666665,2.0,1.6666666666666667,3.3333333333333335,1.6666666666666667,0.0,1.3333333333333333,0.3333333333333333,3.0,0.3333333333333333
13,3,2.3333333333333335,1.3333333333333333,1.0,3.0,1.3333333333333333,0.0,1.6666666666666667,0.0,3.0,0.0
14,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
15,1,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
17,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
18,1,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
