Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,2,3.0,1.5,1.5,5.5,1.5,0.0,4.0,0.0,5.5,0.0
2,2,3.0,0.5,2.5,3.0,1.0,0.0,1.5,0.5,2.5,0.5
3,1,2.0,1.0,1.0,8.0,5.0,0.0,3.0,0.0,8.0,0.0
4,2,2.5,1.5,1.0,5.5,1.0,0.0,4.5,0.0,5.5,0.0
5,2,2.5,1.0,1.5,5.0,1.5,0.5,3.0,0.0,4.5,0.5
6,1,4.0,1.0,3.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
7,1,2.0,1.0,1.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
8,1,3.0,1.0,2.0,7.0,3.0,0.0,4.0,0.0,7.0,0.0
11,2,2.5,0.5,2.0,3.5,1.5,0.0,2.0,0.0,3.5,0.0
14,2,2.5,1.5,1.0,4.5,2.0,0.0,2.5,0.0,4.5,0.0
15,1,2.0,0.0,2.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
16,1,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
17,1,6.0,4.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
20,1,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
