Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
1,1,2.0,2.0,0.0,4.0,1.0,0.0,2.0,1.0,3.0,1.0
3,2,2.0,1.0,1.0,3.0,1.5,1.0,0.0,0.5,1.5,1.5
4,1,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,2,4.5,2.0,2.5,5.0,2.0,0.5,2.5,0.0,4.5,0.5
6,3,2.3333333333333335,1.0,1.3333333333333333,4.333333333333333,2.0,0.0,2.0,0.3333333333333333,4.0,0.3333333333333333
7,1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
8,4,1.5,1.25,0.25,4.25,2.0,0.0,2.25,0.0,4.25,0.0
9,1,2.0,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0
10,1,3.0,2.0,1.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
11,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
13,1,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
14,3,3.0,1.3333333333333333,1.6666666666666667,5.666666666666667,2.0,0.3333333333333333,2.6666666666666665,0.6666666666666666,4.666666666666667,1.0
18,1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
