Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
-2,2,1.5,1.5,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
-1,4,2.0,0.75,1.25,3.25,1.25,0.0,1.75,0.25,3.0,0.25
0,13,2.076923076923077,1.2307692307692308,0.8461538461538461,4.0,1.6153846153846154,0.0,2.3076923076923075,0.07692307692307693,3.923076923076923,0.07692307692307693
1,14,2.642857142857143,1.4285714285714286,1.2142857142857142,3.5714285714285716,1.5714285714285714,0.0,2.0,0.0,3.5714285714285716,0.0
2,18,2.5,1.2777777777777777,1.2222222222222223,3.611111111111111,1.5555555555555556,0.0,1.9444444444444444,0.1111111111111111,3.5,0.1111111111111111
3,10,2.5,1.7,0.8,3.7,1.8,0.0,1.8,0.1,3.6,0.1
4,17,2.6470588235294117,1.588235294117647,1.0588235294117647,3.0,1.1176470588235294,0.0,1.8823529411764706,0.0,3.0,0.0
5,26,3.0,2.0384615384615383,0.9615384615384616,3.1923076923076925,1.3461538461538463,0.038461538461538464,1.7307692307692308,0.07692307692307693,3.076923076923077,0.11538461538461539
6,18,2.5,1.1666666666666667,1.3333333333333333,3.5,1.7222222222222223,0.05555555555555555,1.6111111111111112,0.1111111111111111,3.3333333333333335,0.16666666666666666
7,18,2.388888888888889,1.6111111111111112,0.7777777777777778,3.9444444444444446,1.3333333333333333,0.0,2.5555555555555554,0.05555555555555555,3.888888888888889,0.05555555555555555
8,26,2.423076923076923,1.5384615384615385,0.8846153846153846,3.8461538461538463,1.7692307692307692,0.07692307692307693,1.9615384615384615,0.038461538461538464,3.730769230769231,0.11538461538461539
9,21,2.5714285714285716,1.7619047619047619,0.8095238095238095,2.7142857142857144,1.0,0.0,1.6666666666666667,0.047619047619047616,2.6666666666666665,0.047619047619047616
10,28,2.0714285714285716,1.0714285714285714,1.0,3.2142857142857144,1.2857142857142858,0.10714285714285714,1.75,0.07142857142857142,3.0357142857142856,0.17857142857142858
11,17,2.6470588235294117,1.411764705882353,1.2352941176470589,3.2941176470588234,1.4705882352941178,0.17647058823529413,1.6470588235294117,0.0,3.1176470588235294,0.17647058823529413
12,11,3.6363636363636362,1.5454545454545454,2.090909090909091,3.5454545454545454,1.6363636363636365,0.09090909090909091,1.6363636363636365,0.18181818181818182,3.272727272727273,0.2727272727272727
13,13,2.3846153846153846,1.3076923076923077,1.0769230769230769,5.0,2.230769230769231,0.0,2.769230769230769,0.0,5.0,0.0
14,10,2.4,1.7,0.7,3.1,1.1,0.0,1.8,0.2,2.9,0.2
15,12,2.5833333333333335,1.0833333333333333,1.5,2.4166666666666665,0.9166666666666666,0.0,1.4166666666666667,0.08333333333333333,2.3333333333333335,0.08333333333333333
16,10,2.6,1.8,0.8,2.9,1.3,0.1,1.4,0.1,2.7,0.2
17,5,3.2,1.8,1.4,3.4,2.0,0.0,1.4,0.0,3.4,0.0
18,1,2.0,1.0,1.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
19,1,1.0,1.0,0.0,5.0,0.0,0.0,4.0,1.0,4.0,1.0
