Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
0,5,2.8,2.0,0.8,3.6,1.0,0.2,2.4,0.0,3.4,0.2
1,8,2.375,1.0,1.375,3.5,1.375,0.125,2.0,0.0,3.375,0.125
2,5,1.8,0.8,1.0,4.4,1.6,0.0,2.8,0.0,4.4,0.0
3,8,2.625,1.375,1.25,4.875,2.375,0.0,2.375,0.125,4.75,0.125
4,20,2.7,1.35,1.35,3.35,1.35,0.05,1.85,0.1,3.2,0.15
5,14,2.857142857142857,1.5714285714285714,1.2857142857142858,3.2857142857142856,1.5714285714285714,0.0,1.7142857142857142,0.0,3.2857142857142856,0.0
6,7,2.5714285714285716,1.8571428571428572,0.7142857142857143,2.857142857142857,1.0,0.0,1.8571428571428572,0.0,2.857142857142857,0.0
7,13,3.1538461538461537,1.3846153846153846,1.7692307692307692,3.230769230769231,1.6923076923076923,0.0,1.3846153846153846,0.15384615384615385,3.076923076923077,0.15384615384615385
8,14,2.142857142857143,1.1428571428571428,1.0,3.2857142857142856,1.7142857142857142,0.07142857142857142,1.4285714285714286,0.07142857142857142,3.142857142857143,0.14285714285714285
9,14,2.5714285714285716,1.2857142857142858,1.2857142857142858,2.7142857142857144,1.0,0.07142857142857142,1.6428571428571428,0.0,2.642857142857143,0.07142857142857142
10,23,2.5652173913043477,1.434782608695652,1.1304347826086956,3.130434782608696,1.6521739130434783,0.08695652173913043,1.3478260869565217,0.043478260869565216,3.0,0.13043478260869565
11,9,2.888888888888889,1.4444444444444444,1.4444444444444444,4.777777777777778,1.7777777777777777,0.0,2.7777777777777777,0.2222222222222222,4.555555555555555,0.2222222222222222
12,9,2.3333333333333335,1.5555555555555556,0.7777777777777778,4.333333333333333,1.5555555555555556,0.2222222222222222,2.3333333333333335,0.2222222222222222,3.888888888888889,0.4444444444444444
13,11,3.909090909090909,2.3636363636363638,1.5454545454545454,3.4545454545454546,1.6363636363636365,0.2727272727272727,1.5454545454545454,0.0,3.1818181818181817,0.2727272727272727
14,4,3.75,0.75,3.0,3.75,1.75,0.0,2.0,0.0,3.75,0.0
15,5,2.6,2.0,0.6,3.8,1.4,0.0,2.2,0.2,3.6,0.2
16,7,2.7142857142857144,1.7142857142857142,1.0,4.428571428571429,2.2857142857142856,0.0,2.0,0.14285714285714285,4.285714285714286,0.14285714285714285
17,4,2.5,1.0,1.5,3.25,0.25,0.25,2.5,0.25,2.75,0.5
18,2,2.0,1.0,1.0,3.5,1.0,0.0,2.0,0.5,3.0,0.5
19,1,2.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
20,1,7.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
