Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2,2,2.0,1.0,1.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
3,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
4,1,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,2,2.5,2.5,0.0,2.5,0.0,0.0,2.5,0.0,2.5,0.0
6,3,3.0,2.0,1.0,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0
7,10,2.3,1.8,0.5,1.5,0.4,0.0,1.1,0.0,1.5,0.0
8,6,4.0,2.1666666666666665,1.8333333333333333,2.5,0.5,0.0,1.8333333333333333,0.16666666666666666,2.3333333333333335,0.16666666666666666
9,2,3.0,0.5,2.5,3.0,1.5,0.0,1.5,0.0,3.0,0.0
11,1,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
12,2,3.5,1.5,2.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
13,3,1.6666666666666667,0.6666666666666666,1.0,2.3333333333333335,0.6666666666666666,0.0,1.6666666666666667,0.0,2.3333333333333335,0.0
14,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
15,3,4.0,3.3333333333333335,0.6666666666666666,1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.3333333333333333,0.0
17,2,3.0,2.0,1.0,3.0,1.5,0.0,1.5,0.0,3.0,0.0
