Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,1,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
2,3,3.6666666666666665,2.0,1.6666666666666667,3.3333333333333335,0.6666666666666666,0.0,2.6666666666666665,0.0,3.3333333333333335,0.0
4,2,0.0,0.0,0.0,5.0,1.5,0.0,3.5,0.0,5.0,0.0
5,2,1.5,1.0,0.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
6,2,3.5,2.0,1.5,3.5,2.0,0.5,1.0,0.0,3.0,0.5
7,3,3.0,1.3333333333333333,1.6666666666666667,3.6666666666666665,1.6666666666666667,0.0,2.0,0.0,3.6666666666666665,0.0
8,1,3.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
10,1,5.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
11,2,1.5,1.5,0.0,3.5,1.0,0.5,1.5,0.5,2.5,1.0
13,1,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
14,2,2.0,1.5,0.5,1.0,0.5,0.0,0.5,0.0,1.0,0.0
15,1,2.0,1.0,1.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
18,1,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
