Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
1,1,5.0,3.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,2,4.5,0.0,4.5,1.5,1.0,0.0,0.5,0.0,1.5,0.0
6,1,2.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
7,2,6.0,3.5,2.5,3.5,0.5,0.0,3.0,0.0,3.5,0.0
9,1,2.0,0.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
10,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
11,2,2.5,2.5,0.0,3.0,1.5,0.0,1.0,0.5,2.5,0.5
12,1,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
15,2,3.5,2.0,1.5,3.5,2.0,0.0,1.5,0.0,3.5,0.0
16,1,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
18,1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
20,1,3.0,2.0,1.0,6.0,3.0,0.0,3.0,0.0,6.0,0.0
