Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,10,2.4,1.4,1.0,3.9,1.5,0.2,1.9,0.3,3.4,0.5
1,6,3.5,2.3333333333333335,1.1666666666666667,3.6666666666666665,1.3333333333333333,0.0,2.3333333333333335,0.0,3.6666666666666665,0.0
2,12,3.5,2.25,1.25,3.0833333333333335,1.4166666666666667,0.08333333333333333,1.5833333333333333,0.0,3.0,0.08333333333333333
3,15,2.066666666666667,1.2,0.8666666666666667,3.2,1.5333333333333334,0.0,1.6666666666666667,0.0,3.2,0.0
4,16,2.4375,1.75,0.6875,3.625,1.5625,0.0,1.9375,0.125,3.5,0.125
5,21,2.5714285714285716,1.2857142857142858,1.2857142857142858,2.380952380952381,1.0,0.047619047619047616,1.3333333333333333,0.0,2.3333333333333335,0.047619047619047616
6,21,2.8095238095238093,1.619047619047619,1.1904761904761905,3.238095238095238,1.1428571428571428,0.09523809523809523,1.8571428571428572,0.14285714285714285,3.0,0.23809523809523808
7,20,2.35,1.35,1.0,3.6,1.45,0.05,1.9,0.2,3.35,0.25
8,13,3.1538461538461537,1.6153846153846154,1.5384615384615385,3.769230769230769,1.2307692307692308,0.07692307692307693,2.230769230769231,0.23076923076923078,3.4615384615384617,0.3076923076923077
9,15,1.9333333333333333,1.2666666666666666,0.6666666666666666,3.1333333333333333,1.1333333333333333,0.0,1.9333333333333333,0.06666666666666667,3.066666666666667,0.06666666666666667
10,19,2.473684210526316,0.9473684210526315,1.5263157894736843,2.5789473684210527,1.4210526315789473,0.0,1.1578947368421053,0.0,2.5789473684210527,0.0
11,20,2.9,1.95,0.95,3.25,1.75,0.05,1.2,0.25,2.95,0.3
12,13,3.3846153846153846,2.3076923076923075,1.0769230769230769,2.8461538461538463,1.0,0.15384615384615385,1.5384615384615385,0.15384615384615385,2.5384615384615383,0.3076923076923077
13,17,3.235294117647059,1.8235294117647058,1.411764705882353,3.4705882352941178,1.411764705882353,0.058823529411764705,1.9411764705882353,0.058823529411764705,3.3529411764705883,0.11764705882352941
14,11,2.909090909090909,1.4545454545454546,1.4545454545454546,2.909090909090909,1.6363636363636365,0.0,1.2727272727272727,0.0,2.909090909090909,0.0
15,7,2.5714285714285716,1.1428571428571428,1.4285714285714286,3.5714285714285716,1.4285714285714286,0.0,1.8571428571428572,0.2857142857142857,3.2857142857142856,0.2857142857142857
16,6,3.3333333333333335,2.5,0.8333333333333334,3.8333333333333335,1.5,0.0,2.3333333333333335,0.0,3.8333333333333335,0.0
17,2,1.0,0.5,0.5,5.0,2.0,0.0,3.0,0.0,5.0,0.0
18,4,3.75,2.25,1.5,4.25,1.5,0.0,2.75,0.0,4.25,0.0
19,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
