Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,2.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0
-1,5,4.0,2.2,1.8,2.0,0.6,0.2,1.2,0.0,1.8,0.2
0,7,2.4285714285714284,1.4285714285714286,1.0,2.5714285714285716,1.2857142857142858,0.14285714285714285,1.1428571428571428,0.0,2.4285714285714284,0.14285714285714285
1,16,2.875,1.625,1.25,4.1875,2.0,0.0625,1.9375,0.1875,3.9375,0.25
2,12,2.6666666666666665,1.4166666666666667,1.25,3.8333333333333335,1.5833333333333333,0.08333333333333333,2.1666666666666665,0.0,3.75,0.08333333333333333
3,11,2.1818181818181817,0.9090909090909091,1.2727272727272727,4.090909090909091,1.5454545454545454,0.18181818181818182,2.272727272727273,0.09090909090909091,3.8181818181818183,0.2727272727272727
4,18,2.3333333333333335,1.0,1.3333333333333333,3.3333333333333335,1.6666666666666667,0.05555555555555555,1.5555555555555556,0.05555555555555555,3.2222222222222223,0.1111111111111111
5,21,3.142857142857143,1.8571428571428572,1.2857142857142858,2.9523809523809526,1.1428571428571428,0.09523809523809523,1.619047619047619,0.09523809523809523,2.761904761904762,0.19047619047619047
6,23,2.8260869565217392,1.6956521739130435,1.1304347826086956,3.0869565217391304,0.8695652173913043,0.08695652173913043,2.130434782608696,0.0,3.0,0.08695652173913043
7,24,2.3333333333333335,1.5416666666666667,0.7916666666666666,3.375,1.625,0.125,1.625,0.0,3.25,0.125
8,25,2.36,1.36,1.0,3.28,1.32,0.24,1.64,0.08,2.96,0.32
9,16,2.5625,1.6875,0.875,3.625,1.625,0.125,1.8125,0.0625,3.4375,0.1875
10,25,3.24,1.68,1.56,3.12,1.36,0.16,1.56,0.04,2.92,0.2
11,13,2.923076923076923,1.5384615384615385,1.3846153846153846,4.230769230769231,1.6923076923076923,0.07692307692307693,2.3846153846153846,0.07692307692307693,4.076923076923077,0.15384615384615385
12,15,2.533333333333333,1.6,0.9333333333333333,2.7333333333333334,1.2666666666666666,0.0,1.4666666666666666,0.0,2.7333333333333334,0.0
13,16,3.4375,2.0,1.4375,3.6875,1.6875,0.125,1.75,0.125,3.4375,0.25
14,15,2.6,1.4666666666666666,1.1333333333333333,4.2,1.8666666666666667,0.06666666666666667,2.2,0.06666666666666667,4.066666666666666,0.13333333333333333
15,13,2.6923076923076925,1.6923076923076923,1.0,3.923076923076923,2.230769230769231,0.0,1.6923076923076923,0.0,3.923076923076923,0.0
16,6,2.0,1.0,1.0,2.8333333333333335,1.1666666666666667,0.0,1.6666666666666667,0.0,2.8333333333333335,0.0
17,4,3.25,2.0,1.25,3.75,1.5,0.0,2.0,0.25,3.5,0.25
18,2,1.5,0.0,1.5,2.5,1.5,0.0,1.0,0.0,2.5,0.0
19,4,1.5,1.25,0.25,2.25,1.0,0.0,1.25,0.0,2.25,0.0
20,1,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
