Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-4,1,3.0,1.0,2.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
-3,1,2.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
-2,3,3.6666666666666665,2.3333333333333335,1.3333333333333333,4.333333333333333,1.3333333333333333,0.0,3.0,0.0,4.333333333333333,0.0
-1,2,2.5,1.0,1.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
0,20,2.65,1.7,0.95,3.9,1.65,0.05,2.0,0.2,3.65,0.25
1,12,3.25,2.0,1.25,3.5,1.5,0.08333333333333333,1.75,0.16666666666666666,3.25,0.25
2,13,3.0,1.6153846153846154,1.3846153846153846,3.0,0.9230769230769231,0.15384615384615385,1.7692307692307692,0.15384615384615385,2.6923076923076925,0.3076923076923077
3,21,2.4761904761904763,1.4285714285714286,1.0476190476190477,4.666666666666667,1.8571428571428572,0.047619047619047616,2.5714285714285716,0.19047619047619047,4.428571428571429,0.23809523809523808
4,23,2.6956521739130435,1.7391304347826086,0.9565217391304348,3.6956521739130435,1.6956521739130435,0.043478260869565216,1.826086956521739,0.13043478260869565,3.5217391304347827,0.17391304347826086
5,29,2.206896551724138,1.103448275862069,1.103448275862069,4.068965517241379,2.0344827586206895,0.13793103448275862,1.8620689655172413,0.034482758620689655,3.896551724137931,0.1724137931034483
6,39,2.948717948717949,1.6153846153846154,1.3333333333333333,4.282051282051282,1.8461538461538463,0.15384615384615385,2.051282051282051,0.23076923076923078,3.8974358974358974,0.38461538461538464
7,34,2.6176470588235294,1.6176470588235294,1.0,3.3823529411764706,1.6764705882352942,0.029411764705882353,1.5588235294117647,0.11764705882352941,3.235294117647059,0.14705882352941177
8,37,2.864864864864865,1.8108108108108107,1.054054054054054,3.324324324324324,1.6486486486486487,0.02702702702702703,1.4864864864864864,0.16216216216216217,3.135135135135135,0.1891891891891892
9,35,2.7142857142857144,1.457142857142857,1.2571428571428571,3.142857142857143,1.3714285714285714,0.05714285714285714,1.6571428571428573,0.05714285714285714,3.0285714285714285,0.11428571428571428
10,41,2.5365853658536586,1.1951219512195121,1.3414634146341464,4.658536585365853,2.268292682926829,0.0,2.268292682926829,0.12195121951219512,4.536585365853658,0.12195121951219512
11,22,2.8636363636363638,1.6818181818181819,1.1818181818181819,3.772727272727273,1.9545454545454546,0.045454545454545456,1.6818181818181819,0.09090909090909091,3.6363636363636362,0.13636363636363635
12,24,3.2083333333333335,1.875,1.3333333333333333,4.083333333333333,1.75,0.125,2.1666666666666665,0.041666666666666664,3.9166666666666665,0.16666666666666666
13,20,2.6,1.4,1.2,3.75,1.6,0.15,1.9,0.1,3.5,0.25
14,15,2.933333333333333,1.6,1.3333333333333333,4.6,2.2666666666666666,0.13333333333333333,1.8666666666666667,0.3333333333333333,4.133333333333334,0.4666666666666667
15,15,2.7333333333333334,1.4666666666666666,1.2666666666666666,3.2,1.2666666666666666,0.0,1.8666666666666667,0.06666666666666667,3.1333333333333333,0.06666666666666667
16,11,3.0,1.2727272727272727,1.7272727272727273,3.727272727272727,1.4545454545454546,0.09090909090909091,2.0,0.18181818181818182,3.4545454545454546,0.2727272727272727
17,8,3.0,1.75,1.25,5.5,2.625,0.125,2.5,0.25,5.125,0.375
18,4,2.25,1.0,1.25,3.75,1.75,0.25,1.5,0.25,3.25,0.5
19,2,2.0,1.5,0.5,3.5,2.0,0.5,1.0,0.0,3.0,0.5
20,1,2.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,5.0,0.0
23,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
