Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,2,3.5,1.5,2.0,5.0,1.5,0.0,3.5,0.0,5.0,0.0
0,7,2.2857142857142856,1.2857142857142858,1.0,2.857142857142857,0.8571428571428571,0.0,2.0,0.0,2.857142857142857,0.0
1,6,2.3333333333333335,1.3333333333333333,1.0,4.166666666666667,2.3333333333333335,0.0,1.6666666666666667,0.16666666666666666,4.0,0.16666666666666666
2,10,2.6,1.8,0.8,3.8,1.2,0.0,2.5,0.1,3.7,0.1
3,12,3.1666666666666665,1.6666666666666667,1.5,3.9166666666666665,1.8333333333333333,0.0,2.0,0.08333333333333333,3.8333333333333335,0.08333333333333333
4,14,2.2857142857142856,1.2857142857142858,1.0,2.857142857142857,1.2857142857142858,0.0,1.5714285714285714,0.0,2.857142857142857,0.0
5,17,2.3529411764705883,1.4705882352941178,0.8823529411764706,3.1176470588235294,1.1764705882352942,0.11764705882352941,1.6470588235294117,0.17647058823529413,2.823529411764706,0.29411764705882354
6,18,2.5555555555555554,1.5555555555555556,1.0,2.611111111111111,0.8888888888888888,0.1111111111111111,1.6111111111111112,0.0,2.5,0.1111111111111111
7,15,2.8666666666666667,2.0,0.8666666666666667,3.1333333333333333,1.2,0.0,1.8,0.13333333333333333,3.0,0.13333333333333333
8,16,3.0625,1.875,1.1875,3.375,1.3125,0.0625,1.875,0.125,3.1875,0.1875
9,13,2.3846153846153846,1.2307692307692308,1.1538461538461537,3.6153846153846154,1.6923076923076923,0.0,1.6923076923076923,0.23076923076923078,3.3846153846153846,0.23076923076923078
10,18,3.0,1.5555555555555556,1.4444444444444444,3.2777777777777777,1.4444444444444444,0.0,1.7777777777777777,0.05555555555555555,3.2222222222222223,0.05555555555555555
11,15,2.8666666666666667,1.6,1.2666666666666666,3.8666666666666667,1.5333333333333334,0.06666666666666667,2.1333333333333333,0.13333333333333333,3.6666666666666665,0.2
12,8,2.0,1.5,0.5,2.75,1.375,0.0,1.25,0.125,2.625,0.125
13,6,2.5,1.5,1.0,3.1666666666666665,1.3333333333333333,0.0,1.6666666666666667,0.16666666666666666,3.0,0.16666666666666666
14,5,3.6,2.2,1.4,3.2,1.6,0.0,1.4,0.2,3.0,0.2
15,8,2.75,1.25,1.5,3.0,1.625,0.0,1.375,0.0,3.0,0.0
16,7,1.5714285714285714,1.0,0.5714285714285714,4.428571428571429,2.0,0.0,2.4285714285714284,0.0,4.428571428571429,0.0
17,3,1.3333333333333333,0.3333333333333333,1.0,2.6666666666666665,1.3333333333333333,0.3333333333333333,1.0,0.0,2.3333333333333335,0.3333333333333333
18,1,5.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
19,1,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
