Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,4.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
1,1,2.0,2.0,0.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
2,2,4.5,2.0,2.5,4.5,1.5,0.0,2.5,0.5,4.0,0.5
4,4,2.5,0.75,1.75,2.25,1.5,0.25,0.5,0.0,2.0,0.25
5,1,1.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
6,3,1.0,0.3333333333333333,0.6666666666666666,5.333333333333333,2.0,0.0,2.3333333333333335,1.0,4.333333333333333,1.0
7,1,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
8,5,1.8,1.0,0.8,3.4,1.4,0.0,2.0,0.0,3.4,0.0
9,1,2.0,0.0,2.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
10,4,3.25,2.0,1.25,3.0,1.25,0.0,1.75,0.0,3.0,0.0
11,3,2.6666666666666665,1.0,1.6666666666666667,4.0,1.6666666666666667,0.0,2.3333333333333335,0.0,4.0,0.0
12,2,3.0,1.5,1.5,3.5,0.5,0.0,3.0,0.0,3.5,0.0
13,1,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,4,3.0,1.75,1.25,3.25,1.75,0.25,1.25,0.0,3.0,0.25
15,1,3.0,3.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
16,1,2.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
17,1,5.0,0.0,5.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
18,1,2.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
