Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,4.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-1,1,3.0,1.0,2.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
0,5,2.8,2.0,0.8,2.8,1.2,0.0,1.6,0.0,2.8,0.0
1,9,3.7777777777777777,1.7777777777777777,2.0,3.4444444444444446,1.8888888888888888,0.1111111111111111,1.2222222222222223,0.2222222222222222,3.111111111111111,0.3333333333333333
2,10,2.9,2.0,0.9,3.3,1.3,0.2,1.7,0.1,3.0,0.3
3,16,2.5,1.875,0.625,3.0,1.375,0.0,1.625,0.0,3.0,0.0
4,10,2.3,1.7,0.6,3.2,1.5,0.0,1.5,0.2,3.0,0.2
5,15,3.2,2.066666666666667,1.1333333333333333,2.933333333333333,1.1333333333333333,0.0,1.8,0.0,2.933333333333333,0.0
6,16,2.625,1.5,1.125,2.875,1.0625,0.0,1.75,0.0625,2.8125,0.0625
7,14,2.2857142857142856,1.2857142857142858,1.0,2.9285714285714284,1.0714285714285714,0.07142857142857142,1.6428571428571428,0.14285714285714285,2.7142857142857144,0.21428571428571427
8,10,3.0,1.7,1.3,2.9,1.2,0.3,1.3,0.1,2.5,0.4
9,19,2.789473684210526,1.7894736842105263,1.0,3.526315789473684,1.631578947368421,0.05263157894736842,1.7894736842105263,0.05263157894736842,3.4210526315789473,0.10526315789473684
10,23,2.5652173913043477,1.7826086956521738,0.782608695652174,3.9130434782608696,1.6956521739130435,0.0,2.0869565217391304,0.13043478260869565,3.782608695652174,0.13043478260869565
11,19,3.0,1.263157894736842,1.736842105263158,3.1052631578947367,1.4736842105263157,0.05263157894736842,1.5263157894736843,0.05263157894736842,3.0,0.10526315789473684
12,10,3.2,2.0,1.2,2.3,0.8,0.1,1.4,0.0,2.2,0.1
13,8,2.75,1.625,1.125,3.125,1.375,0.125,1.625,0.0,3.0,0.125
14,9,2.111111111111111,1.0,1.1111111111111112,4.666666666666667,2.3333333333333335,0.2222222222222222,2.0,0.1111111111111111,4.333333333333333,0.3333333333333333
15,8,2.625,1.25,1.375,4.125,1.75,0.25,2.125,0.0,3.875,0.25
16,4,2.5,1.0,1.5,5.75,3.25,0.0,2.5,0.0,5.75,0.0
17,5,3.2,1.8,1.4,2.6,1.0,0.0,1.6,0.0,2.6,0.0
18,3,4.333333333333333,1.6666666666666667,2.6666666666666665,5.0,2.0,0.3333333333333333,2.6666666666666665,0.0,4.666666666666667,0.3333333333333333
20,1,2.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,2.0,1.0
22,1,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
