Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,5,2.2,1.2,1.0,4.4,2.2,0.0,2.0,0.2,4.2,0.2
1,6,2.6666666666666665,1.0,1.6666666666666667,3.5,1.5,0.0,1.8333333333333333,0.16666666666666666,3.3333333333333335,0.16666666666666666
2,8,2.5,1.625,0.875,3.5,1.625,0.25,1.625,0.0,3.25,0.25
3,9,3.111111111111111,2.111111111111111,1.0,2.7777777777777777,1.0,0.1111111111111111,1.6666666666666667,0.0,2.6666666666666665,0.1111111111111111
4,12,2.9166666666666665,1.5,1.4166666666666667,3.8333333333333335,1.8333333333333333,0.08333333333333333,1.75,0.16666666666666666,3.5833333333333335,0.25
5,6,1.6666666666666667,1.0,0.6666666666666666,4.666666666666667,1.5,0.16666666666666666,2.6666666666666665,0.3333333333333333,4.166666666666667,0.5
6,8,2.625,2.0,0.625,3.625,1.25,0.125,2.125,0.125,3.375,0.25
7,20,2.15,1.3,0.85,3.3,1.2,0.05,2.0,0.05,3.2,0.1
8,14,2.357142857142857,1.0714285714285714,1.2857142857142858,3.857142857142857,1.9285714285714286,0.2857142857142857,1.5714285714285714,0.07142857142857142,3.5,0.35714285714285715
9,7,1.4285714285714286,1.0,0.42857142857142855,3.2857142857142856,0.8571428571428571,0.0,2.2857142857142856,0.14285714285714285,3.142857142857143,0.14285714285714285
10,10,2.3,1.8,0.5,4.3,2.0,0.1,2.2,0.0,4.2,0.1
11,13,2.769230769230769,2.0,0.7692307692307693,4.0,1.4615384615384615,0.15384615384615385,2.3076923076923075,0.07692307692307693,3.769230769230769,0.23076923076923078
12,12,1.9166666666666667,0.9166666666666666,1.0,5.083333333333333,2.0833333333333335,0.08333333333333333,2.8333333333333335,0.08333333333333333,4.916666666666667,0.16666666666666666
13,11,2.727272727272727,1.5454545454545454,1.1818181818181819,4.0,1.3636363636363635,0.09090909090909091,2.4545454545454546,0.09090909090909091,3.8181818181818183,0.18181818181818182
14,10,3.5,2.2,1.3,4.3,1.8,0.1,2.2,0.2,4.0,0.3
15,6,1.6666666666666667,1.0,0.6666666666666666,4.166666666666667,2.0,0.16666666666666666,1.8333333333333333,0.16666666666666666,3.8333333333333335,0.3333333333333333
16,4,2.0,1.25,0.75,3.0,1.25,0.0,1.75,0.0,3.0,0.0
17,3,4.666666666666667,1.6666666666666667,3.0,2.0,1.3333333333333333,0.0,0.6666666666666666,0.0,2.0,0.0
18,2,3.0,1.0,2.0,4.5,2.5,0.5,1.5,0.0,4.0,0.5
19,1,5.0,4.0,1.0,6.0,1.0,0.0,5.0,0.0,6.0,0.0
20,1,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
