Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
0,3,2.3333333333333335,2.0,0.3333333333333333,4.333333333333333,1.6666666666666667,0.0,2.6666666666666665,0.0,4.333333333333333,0.0
1,1,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0
3,1,2.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,1,2.0,1.0,1.0,9.0,5.0,0.0,4.0,0.0,9.0,0.0
6,1,5.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
7,2,3.5,2.5,1.0,5.5,2.5,0.0,3.0,0.0,5.5,0.0
8,2,4.0,2.5,1.5,4.5,1.0,0.0,3.5,0.0,4.5,0.0
9,1,3.0,1.0,2.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
10,1,1.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
13,1,1.0,1.0,0.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
14,1,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
15,1,4.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
16,1,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
17,1,4.0,2.0,2.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
