Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,2.5,0.5,2.0,1.5,0.0,0.0,1.5,0.0,1.5,0.0
1,1,3.0,3.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
2,2,3.0,2.0,1.0,2.0,0.5,0.0,1.5,0.0,2.0,0.0
3,4,4.25,2.25,2.0,3.5,1.0,0.0,2.0,0.5,3.0,0.5
4,4,3.0,1.75,1.25,3.25,1.5,0.0,1.75,0.0,3.25,0.0
5,5,3.0,1.6,1.4,2.2,1.0,0.0,1.2,0.0,2.2,0.0
6,8,2.625,1.875,0.75,3.125,1.375,0.125,1.625,0.0,3.0,0.125
7,5,3.0,1.6,1.4,2.8,1.2,0.0,1.4,0.2,2.6,0.2
8,6,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.1666666666666667,0.16666666666666666,1.3333333333333333,0.0,2.5,0.16666666666666666
9,6,2.5,1.5,1.0,2.6666666666666665,1.0,0.0,1.5,0.16666666666666666,2.5,0.16666666666666666
10,2,2.0,1.0,1.0,4.5,2.0,0.0,2.5,0.0,4.5,0.0
11,2,0.5,0.0,0.5,3.5,1.5,0.0,2.0,0.0,3.5,0.0
12,4,2.75,1.75,1.0,2.75,1.0,0.0,1.75,0.0,2.75,0.0
13,2,1.5,0.5,1.0,3.0,1.5,0.0,1.5,0.0,3.0,0.0
14,1,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
15,2,2.0,0.5,1.5,3.0,1.0,0.5,1.5,0.0,2.5,0.5
16,1,3.0,3.0,0.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
17,1,4.0,2.0,2.0,7.0,2.0,0.0,5.0,0.0,7.0,0.0
18,1,4.0,3.0,1.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
19,1,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
