Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
0,7,3.2857142857142856,1.8571428571428572,1.4285714285714286,2.7142857142857144,1.2857142857142858,0.0,1.4285714285714286,0.0,2.7142857142857144,0.0
1,3,3.0,2.3333333333333335,0.6666666666666666,5.0,3.0,0.0,2.0,0.0,5.0,0.0
2,10,3.6,1.9,1.7,2.9,1.1,0.1,1.6,0.1,2.7,0.2
3,9,2.3333333333333335,1.3333333333333333,1.0,3.0,1.2222222222222223,0.0,1.7777777777777777,0.0,3.0,0.0
4,6,1.5,1.1666666666666667,0.3333333333333333,3.5,1.6666666666666667,0.0,1.8333333333333333,0.0,3.5,0.0
5,15,3.6666666666666665,1.8,1.8666666666666667,2.8666666666666667,1.6,0.13333333333333333,1.0666666666666667,0.06666666666666667,2.6666666666666665,0.2
6,8,3.75,2.375,1.375,3.25,1.125,0.0,2.0,0.125,3.125,0.125
7,10,2.6,1.2,1.4,2.7,1.4,0.0,1.3,0.0,2.7,0.0
8,8,2.75,1.25,1.5,3.5,1.75,0.125,1.625,0.0,3.375,0.125
9,10,1.7,0.9,0.8,4.6,2.1,0.1,2.3,0.1,4.4,0.2
10,9,2.5555555555555554,0.4444444444444444,2.111111111111111,3.7777777777777777,2.3333333333333335,0.0,1.4444444444444444,0.0,3.7777777777777777,0.0
11,12,2.9166666666666665,1.8333333333333333,1.0833333333333333,3.6666666666666665,1.9166666666666667,0.0,1.75,0.0,3.6666666666666665,0.0
12,4,2.25,0.75,1.5,4.0,1.75,0.25,2.0,0.0,3.75,0.25
13,5,4.2,2.4,1.8,3.6,2.4,0.0,1.2,0.0,3.6,0.0
14,5,2.4,1.4,1.0,2.8,1.6,0.0,1.2,0.0,2.8,0.0
15,4,3.0,1.75,1.25,3.0,1.5,0.0,1.5,0.0,3.0,0.0
16,3,2.3333333333333335,0.6666666666666666,1.6666666666666667,5.0,1.3333333333333333,0.0,3.6666666666666665,0.0,5.0,0.0
17,1,1.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
18,2,2.0,1.0,1.0,4.5,2.0,0.5,2.0,0.0,4.0,0.5
