Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,3.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
1,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
2,1,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
3,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
4,2,3.5,3.0,0.5,4.5,0.5,0.0,3.5,0.5,4.0,0.5
5,1,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
7,3,4.666666666666667,1.6666666666666667,3.0,2.3333333333333335,2.0,0.0,0.3333333333333333,0.0,2.3333333333333335,0.0
8,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
10,1,2.0,1.0,1.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
13,4,4.25,3.0,1.25,2.5,0.25,0.0,2.25,0.0,2.5,0.0
17,1,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
