Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
1,1,4.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
3,3,2.3333333333333335,0.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0
4,2,3.5,1.0,2.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,3,1.6666666666666667,1.3333333333333333,0.3333333333333333,2.3333333333333335,1.0,0.0,1.3333333333333333,0.0,2.3333333333333335,0.0
6,4,2.75,2.25,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
7,6,2.5,1.8333333333333333,0.6666666666666666,1.1666666666666667,0.3333333333333333,0.0,0.6666666666666666,0.16666666666666666,1.0,0.16666666666666666
8,4,3.0,0.75,2.25,3.75,1.5,0.5,1.75,0.0,3.25,0.5
9,4,3.25,1.75,1.5,3.0,1.5,0.0,1.25,0.25,2.75,0.25
10,5,3.2,1.4,1.8,1.8,0.8,0.0,1.0,0.0,1.8,0.0
11,1,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2,1.5,0.0,1.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
14,2,1.5,1.0,0.5,5.5,2.5,0.0,3.0,0.0,5.5,0.0
15,2,3.5,3.0,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
16,1,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
17,2,5.0,3.0,2.0,5.0,2.5,0.0,2.5,0.0,5.0,0.0
18,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
