Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
1,4,2.75,1.75,1.0,2.25,1.0,0.0,1.25,0.0,2.25,0.0
2,1,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
3,2,4.0,0.5,3.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
4,6,1.6666666666666667,0.8333333333333334,0.8333333333333334,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,2.6666666666666665,0.0
5,2,3.0,0.5,2.5,3.5,1.5,0.0,2.0,0.0,3.5,0.0
6,1,1.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
8,2,1.5,1.0,0.5,3.0,1.5,0.0,1.5,0.0,3.0,0.0
9,4,2.0,0.75,1.25,3.5,2.25,0.0,1.25,0.0,3.5,0.0
10,8,2.625,1.625,1.0,2.75,1.25,0.125,1.25,0.125,2.5,0.25
11,4,2.5,1.5,1.0,4.0,1.75,0.0,2.25,0.0,4.0,0.0
12,1,4.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
13,1,2.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
14,1,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
15,2,2.5,2.5,0.0,4.5,1.0,0.0,3.5,0.0,4.5,0.0
16,2,2.0,0.5,1.5,3.0,1.0,0.0,2.0,0.0,3.0,0.0
17,1,3.0,1.0,2.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
