Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-5,1,3.0,1.0,2.0,7.0,3.0,1.0,2.0,1.0,5.0,2.0
-2,1,2.0,1.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
-1,3,3.0,1.6666666666666667,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.3333333333333333,0.0
0,10,1.5,1.0,0.5,2.9,0.9,0.0,1.9,0.1,2.8,0.1
1,2,3.0,2.0,1.0,3.5,1.0,0.0,2.0,0.5,3.0,0.5
2,7,2.142857142857143,1.4285714285714286,0.7142857142857143,3.4285714285714284,1.0,0.14285714285714285,2.2857142857142856,0.0,3.2857142857142856,0.14285714285714285
3,6,2.5,1.3333333333333333,1.1666666666666667,3.5,1.5,0.16666666666666666,1.8333333333333333,0.0,3.3333333333333335,0.16666666666666666
4,9,2.0,0.7777777777777778,1.2222222222222223,3.5555555555555554,1.4444444444444444,0.2222222222222222,1.6666666666666667,0.2222222222222222,3.111111111111111,0.4444444444444444
5,9,2.888888888888889,1.5555555555555556,1.3333333333333333,3.0,1.0,0.0,1.8888888888888888,0.1111111111111111,2.888888888888889,0.1111111111111111
6,16,2.4375,1.375,1.0625,2.5625,1.0625,0.0,1.4375,0.0625,2.5,0.0625
7,14,2.4285714285714284,1.7142857142857142,0.7142857142857143,2.5714285714285716,0.8571428571428571,0.07142857142857142,1.5714285714285714,0.07142857142857142,2.4285714285714284,0.14285714285714285
8,17,2.6470588235294117,1.411764705882353,1.2352941176470589,2.7058823529411766,1.1764705882352942,0.0,1.5294117647058822,0.0,2.7058823529411766,0.0
9,20,3.3,1.85,1.45,2.65,1.3,0.05,1.25,0.05,2.55,0.1
10,12,3.0,1.6666666666666667,1.3333333333333333,3.6666666666666665,1.75,0.0,1.9166666666666667,0.0,3.6666666666666665,0.0
11,11,2.4545454545454546,1.6363636363636365,0.8181818181818182,3.1818181818181817,1.4545454545454546,0.09090909090909091,1.5454545454545454,0.09090909090909091,3.0,0.18181818181818182
12,6,5.0,2.8333333333333335,2.1666666666666665,2.8333333333333335,1.1666666666666667,0.16666666666666666,1.5,0.0,2.6666666666666665,0.16666666666666666
13,6,2.1666666666666665,1.3333333333333333,0.8333333333333334,3.1666666666666665,1.1666666666666667,0.0,2.0,0.0,3.1666666666666665,0.0
14,6,3.0,1.6666666666666667,1.3333333333333333,3.0,1.1666666666666667,0.0,1.8333333333333333,0.0,3.0,0.0
15,2,3.5,2.5,1.0,2.5,1.5,0.0,1.0,0.0,2.5,0.0
16,3,2.6666666666666665,1.0,1.6666666666666667,4.333333333333333,1.3333333333333333,0.0,2.6666666666666665,0.3333333333333333,4.0,0.3333333333333333
17,5,1.8,0.6,1.2,2.2,0.6,0.0,1.6,0.0,2.2,0.0
18,2,3.0,2.5,0.5,2.0,1.5,0.0,0.5,0.0,2.0,0.0
19,1,4.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
