Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,5.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
0,2,5.5,3.5,2.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
3,1,4.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
4,2,4.5,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,2.5,1.0,1.5,3.5,1.5,0.0,2.0,0.0,3.5,0.0
7,1,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
8,4,2.0,1.5,0.5,1.25,0.25,0.0,0.75,0.25,1.0,0.25
9,1,1.0,1.0,0.0,8.0,3.0,1.0,4.0,0.0,7.0,1.0
10,3,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
11,1,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
13,1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
15,1,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
17,1,2.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
