Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
2,1,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
4,1,2.0,2.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
6,2,3.5,2.0,1.5,3.5,1.0,0.5,2.0,0.0,3.0,0.5
7,2,2.0,1.5,0.5,7.5,3.5,0.0,4.0,0.0,7.5,0.0
8,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1,2.0,2.0,0.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
10,2,3.0,2.0,1.0,4.0,1.0,0.5,2.5,0.0,3.5,0.5
13,1,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
15,1,2.0,1.0,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
17,1,6.0,3.0,3.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
18,1,4.0,2.0,2.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
