Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
0,3,3.6666666666666665,2.6666666666666665,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
1,3,2.0,1.0,1.0,4.0,0.6666666666666666,0.0,3.3333333333333335,0.0,4.0,0.0
2,4,1.25,0.25,1.0,3.75,1.5,0.25,2.0,0.0,3.5,0.25
3,5,2.4,1.2,1.2,2.8,1.6,0.0,1.2,0.0,2.8,0.0
4,2,1.5,0.5,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5
5,10,2.6,1.7,0.9,3.3,1.1,0.0,2.1,0.1,3.2,0.1
6,1,3.0,2.0,1.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
7,4,2.75,1.5,1.25,1.5,0.75,0.0,0.5,0.25,1.25,0.25
8,11,3.090909090909091,1.9090909090909092,1.1818181818181819,3.909090909090909,1.5454545454545454,0.09090909090909091,2.090909090909091,0.18181818181818182,3.6363636363636362,0.2727272727272727
9,5,2.8,1.6,1.2,2.2,1.0,0.0,1.2,0.0,2.2,0.0
10,10,2.1,1.6,0.5,3.2,1.7,0.0,1.5,0.0,3.2,0.0
11,5,3.0,1.8,1.2,2.6,1.0,0.0,1.6,0.0,2.6,0.0
12,1,1.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
13,6,2.0,1.5,0.5,3.5,1.5,0.0,2.0,0.0,3.5,0.0
14,4,4.25,2.5,1.75,3.0,1.0,0.25,1.5,0.25,2.5,0.5
15,5,2.0,1.0,1.0,3.6,1.6,0.2,1.8,0.0,3.4,0.2
17,4,2.0,1.25,0.75,3.5,1.75,0.0,1.5,0.25,3.25,0.25
