Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
1,1,3.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
2,3,2.6666666666666665,2.0,0.6666666666666666,2.0,1.0,0.0,1.0,0.0,2.0,0.0
3,6,2.5,2.0,0.5,2.3333333333333335,1.1666666666666667,0.16666666666666666,1.0,0.0,2.1666666666666665,0.16666666666666666
4,8,3.5,2.75,0.75,2.5,0.875,0.0,1.5,0.125,2.375,0.125
5,8,2.625,1.75,0.875,2.5,1.125,0.0,1.375,0.0,2.5,0.0
6,6,2.8333333333333335,1.0,1.8333333333333333,3.3333333333333335,1.6666666666666667,0.5,1.0,0.16666666666666666,2.6666666666666665,0.6666666666666666
7,7,2.857142857142857,2.142857142857143,0.7142857142857143,4.571428571428571,2.5714285714285716,0.14285714285714285,1.8571428571428572,0.0,4.428571428571429,0.14285714285714285
8,8,2.75,1.375,1.375,3.125,1.5,0.0,1.375,0.25,2.875,0.25
9,9,1.7777777777777777,1.0,0.7777777777777778,3.7777777777777777,1.7777777777777777,0.0,2.0,0.0,3.7777777777777777,0.0
10,6,1.3333333333333333,0.5,0.8333333333333334,3.8333333333333335,2.1666666666666665,0.0,1.6666666666666667,0.0,3.8333333333333335,0.0
11,7,3.7142857142857144,1.7142857142857142,2.0,3.857142857142857,1.4285714285714286,0.0,2.4285714285714284,0.0,3.857142857142857,0.0
12,3,4.0,3.0,1.0,3.3333333333333335,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,3.0,0.3333333333333333
13,3,3.6666666666666665,2.3333333333333335,1.3333333333333333,3.0,2.0,0.0,1.0,0.0,3.0,0.0
14,3,1.6666666666666667,0.6666666666666666,1.0,3.3333333333333335,1.6666666666666667,0.0,1.6666666666666667,0.0,3.3333333333333335,0.0
15,6,2.1666666666666665,1.5,0.6666666666666666,3.8333333333333335,1.5,0.3333333333333333,1.8333333333333333,0.16666666666666666,3.3333333333333335,0.5
16,3,2.0,1.3333333333333333,0.6666666666666666,3.6666666666666665,1.3333333333333333,0.0,2.3333333333333335,0.0,3.6666666666666665,0.0
17,2,2.0,1.5,0.5,5.5,2.0,0.0,3.5,0.0,5.5,0.0
19,1,2.0,1.0,1.0,8.0,3.0,0.0,5.0,0.0,8.0,0.0
