Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,2.0,0.0,7.0,3.0,0.0,4.0,0.0,7.0,0.0
3,1,4.0,4.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0
4,1,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
5,1,3.0,2.0,1.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
6,1,4.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
7,2,3.0,2.0,1.0,2.5,0.0,0.0,2.0,0.5,2.0,0.5
8,3,2.3333333333333335,1.3333333333333333,1.0,5.666666666666667,2.6666666666666665,0.3333333333333333,2.6666666666666665,0.0,5.333333333333333,0.3333333333333333
9,2,2.5,1.5,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
12,1,5.0,5.0,0.0,4.0,0.0,0.0,3.0,1.0,3.0,1.0
13,1,4.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
14,2,4.0,2.5,1.5,3.5,1.5,0.0,2.0,0.0,3.5,0.0
16,1,1.0,0.0,1.0,7.0,3.0,1.0,3.0,0.0,6.0,1.0
