Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,2.0,1.0,1.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
0,3,3.6666666666666665,2.6666666666666665,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
1,2,3.0,2.5,0.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
2,4,1.75,1.25,0.5,5.25,1.75,0.25,2.75,0.5,4.5,0.75
3,2,1.5,1.0,0.5,6.5,3.5,0.0,3.0,0.0,6.5,0.0
4,3,2.0,1.0,1.0,4.333333333333333,2.3333333333333335,0.0,2.0,0.0,4.333333333333333,0.0
5,11,3.1818181818181817,2.0,1.1818181818181819,3.090909090909091,1.0,0.0,2.0,0.09090909090909091,3.0,0.09090909090909091
6,4,3.25,1.75,1.5,4.0,2.25,0.0,1.75,0.0,4.0,0.0
7,4,2.75,1.5,1.25,3.75,1.25,0.0,2.25,0.25,3.5,0.25
8,10,2.6,1.4,1.2,3.1,1.3,0.0,1.7,0.1,3.0,0.1
9,6,3.0,2.3333333333333335,0.6666666666666666,3.6666666666666665,1.8333333333333333,0.16666666666666666,1.5,0.16666666666666666,3.3333333333333335,0.3333333333333333
10,5,2.6,1.8,0.8,2.8,1.4,0.0,1.4,0.0,2.8,0.0
11,2,1.0,1.0,0.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
12,5,1.4,0.6,0.8,5.2,3.0,0.0,2.0,0.2,5.0,0.2
13,4,1.25,1.0,0.25,1.25,0.25,0.0,1.0,0.0,1.25,0.0
14,5,2.0,1.2,0.8,2.2,1.0,0.0,1.2,0.0,2.2,0.0
15,3,1.3333333333333333,0.3333333333333333,1.0,2.0,0.6666666666666666,0.0,1.0,0.3333333333333333,1.6666666666666667,0.3333333333333333
16,4,3.25,2.25,1.0,4.5,2.5,0.0,1.75,0.25,4.25,0.25
17,1,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
18,3,2.0,1.3333333333333333,0.6666666666666666,4.666666666666667,3.3333333333333335,0.0,1.3333333333333333,0.0,4.666666666666667,0.0
