Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,3.0,3.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,0.0
-1,1,2.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,10,2.7,1.7,1.0,3.6,1.5,0.0,1.9,0.2,3.4,0.2
1,7,1.7142857142857142,0.7142857142857143,1.0,3.2857142857142856,1.2857142857142858,0.0,2.0,0.0,3.2857142857142856,0.0
2,8,2.125,1.375,0.75,3.875,1.25,0.25,2.25,0.125,3.5,0.375
3,11,2.8181818181818183,1.9090909090909092,0.9090909090909091,4.454545454545454,1.9090909090909092,0.0,2.3636363636363638,0.18181818181818182,4.2727272727272725,0.18181818181818182
4,11,3.090909090909091,1.8181818181818181,1.2727272727272727,3.6363636363636362,1.6363636363636365,0.0,1.9090909090909092,0.09090909090909091,3.5454545454545454,0.09090909090909091
5,12,1.9166666666666667,0.9166666666666666,1.0,3.0833333333333335,1.0833333333333333,0.0,1.9166666666666667,0.08333333333333333,3.0,0.08333333333333333
6,20,2.35,1.35,1.0,3.0,1.0,0.0,1.85,0.15,2.85,0.15
7,15,1.7333333333333334,1.3333333333333333,0.4,3.066666666666667,0.9333333333333333,0.06666666666666667,1.9333333333333333,0.13333333333333333,2.8666666666666667,0.2
8,28,2.3214285714285716,1.3928571428571428,0.9285714285714286,4.0,1.5357142857142858,0.03571428571428571,2.25,0.17857142857142858,3.7857142857142856,0.21428571428571427
9,10,2.5,1.2,1.3,3.5,1.6,0.0,1.8,0.1,3.4,0.1
10,10,2.2,1.2,1.0,3.9,1.7,0.2,1.8,0.2,3.5,0.4
11,12,2.6666666666666665,1.5833333333333333,1.0833333333333333,4.083333333333333,1.3333333333333333,0.08333333333333333,2.6666666666666665,0.0,4.0,0.08333333333333333
12,10,3.1,1.6,1.5,3.6,1.9,0.0,1.6,0.1,3.5,0.1
13,10,2.5,1.2,1.3,2.9,1.0,0.1,1.8,0.0,2.8,0.1
14,7,1.1428571428571428,0.5714285714285714,0.5714285714285714,6.0,2.857142857142857,0.0,2.7142857142857144,0.42857142857142855,5.571428571428571,0.42857142857142855
15,10,2.1,1.6,0.5,3.9,1.2,0.2,2.3,0.2,3.5,0.4
16,6,3.5,1.5,2.0,4.0,2.5,0.0,1.5,0.0,4.0,0.0
17,5,2.6,1.8,0.8,4.4,1.8,0.2,1.8,0.6,3.6,0.8
20,1,1.0,1.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
