Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,7.0,4.0,3.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,2,1.0,1.0,0.0,1.5,1.0,0.0,0.5,0.0,1.5,0.0
1,2,2.0,1.0,1.0,2.0,0.5,0.0,1.5,0.0,2.0,0.0
2,2,2.5,1.0,1.5,3.5,1.0,0.0,2.5,0.0,3.5,0.0
3,1,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,3.0,1.3333333333333333,1.6666666666666667,2.1666666666666665,0.6666666666666666,0.0,1.5,0.0,2.1666666666666665,0.0
5,3,3.6666666666666665,2.6666666666666665,1.0,2.3333333333333335,0.6666666666666666,0.0,1.6666666666666667,0.0,2.3333333333333335,0.0
6,4,1.5,1.0,0.5,2.5,1.0,0.0,1.25,0.25,2.25,0.25
7,9,4.333333333333333,2.5555555555555554,1.7777777777777777,3.5555555555555554,1.5555555555555556,0.0,1.7777777777777777,0.2222222222222222,3.3333333333333335,0.2222222222222222
8,3,2.6666666666666665,1.6666666666666667,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
9,3,2.3333333333333335,1.0,1.3333333333333333,1.6666666666666667,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,1.3333333333333333,0.3333333333333333
10,7,3.2857142857142856,2.0,1.2857142857142858,3.5714285714285716,1.8571428571428572,0.0,1.5714285714285714,0.14285714285714285,3.4285714285714284,0.14285714285714285
11,5,2.4,1.6,0.8,3.8,1.2,0.0,2.6,0.0,3.8,0.0
12,1,3.0,1.0,2.0,7.0,4.0,0.0,3.0,0.0,7.0,0.0
13,1,6.0,5.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,3,3.0,2.0,1.0,2.0,0.6666666666666666,0.0,1.3333333333333333,0.0,2.0,0.0
15,3,4.0,2.0,2.0,2.3333333333333335,0.6666666666666666,0.0,1.6666666666666667,0.0,2.3333333333333335,0.0
16,2,3.5,1.5,2.0,4.5,1.0,0.5,2.5,0.5,3.5,1.0
17,1,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
21,1,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
