Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
1,1,2.0,2.0,0.0,6.0,3.0,0.0,2.0,1.0,5.0,1.0
2,2,2.0,0.0,2.0,1.5,0.5,0.0,1.0,0.0,1.5,0.0
3,2,2.0,1.5,0.5,3.5,0.0,0.0,3.5,0.0,3.5,0.0
4,2,3.0,2.0,1.0,2.5,0.5,0.0,1.5,0.5,2.0,0.5
5,1,3.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
6,4,2.25,1.25,1.0,5.75,2.25,0.25,3.0,0.25,5.25,0.5
7,1,3.0,2.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
8,1,6.0,4.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
9,2,1.5,0.5,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
10,2,2.5,2.5,0.0,1.5,0.5,0.0,1.0,0.0,1.5,0.0
12,4,3.0,1.75,1.25,3.25,1.0,0.0,2.25,0.0,3.25,0.0
13,2,1.5,1.0,0.5,3.0,1.5,0.0,1.5,0.0,3.0,0.0
15,1,1.0,1.0,0.0,4.0,1.0,0.0,3.0,0.0,4.0,0.0
16,1,4.0,3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
