Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
3,1,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,3,2.3333333333333335,1.6666666666666667,0.6666666666666666,1.6666666666666667,0.0,0.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.3333333333333333
6,1,3.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
7,1,5.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
8,3,4.0,2.3333333333333335,1.6666666666666667,4.333333333333333,1.3333333333333333,0.3333333333333333,1.6666666666666667,1.0,3.0,1.3333333333333333
9,1,5.0,2.0,3.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
10,2,3.0,2.0,1.0,5.5,2.5,0.0,2.5,0.5,5.0,0.5
12,1,4.0,0.0,4.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
14,1,3.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0
16,1,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
17,1,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
