Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,1.5,1.0,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
2,2,4.5,3.5,1.0,2.0,1.5,0.0,0.5,0.0,2.0,0.0
4,1,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
6,3,3.0,1.6666666666666667,1.3333333333333333,2.0,1.3333333333333333,0.0,0.6666666666666666,0.0,2.0,0.0
7,1,2.0,2.0,0.0,7.0,2.0,0.0,5.0,0.0,7.0,0.0
8,4,1.5,0.5,1.0,1.75,0.5,0.0,1.0,0.25,1.5,0.25
9,1,1.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
10,1,4.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
12,1,1.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,4.0,1.0
13,1,3.0,3.0,0.0,6.0,3.0,0.0,3.0,0.0,6.0,0.0
15,1,1.0,0.0,1.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
20,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
