Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,3,2.0,1.0,1.0,3.3333333333333335,1.3333333333333333,0.0,2.0,0.0,3.3333333333333335,0.0
3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,2.5,0.0,2.5,3.5,2.0,0.0,1.5,0.0,3.5,0.0
6,1,3.0,1.0,2.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0
7,3,2.0,0.6666666666666666,1.3333333333333333,5.0,2.3333333333333335,0.0,2.6666666666666665,0.0,5.0,0.0
8,2,4.5,2.5,2.0,0.5,0.0,0.0,0.5,0.0,0.5,0.0
10,2,3.5,3.0,0.5,2.0,0.0,0.0,1.5,0.5,1.5,0.5
12,1,0.0,0.0,0.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
13,1,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
14,1,2.0,1.0,1.0,7.0,2.0,0.0,5.0,0.0,7.0,0.0
18,1,8.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
