Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,2,2.5,2.0,0.5,2.0,0.5,0.0,1.0,0.5,1.5,0.5
2,3,3.3333333333333335,1.6666666666666667,1.6666666666666667,2.0,1.3333333333333333,0.0,0.6666666666666666,0.0,2.0,0.0
3,9,3.0,1.5555555555555556,1.4444444444444444,2.111111111111111,0.7777777777777778,0.0,1.3333333333333333,0.0,2.111111111111111,0.0
4,4,3.0,1.5,1.5,2.75,1.5,0.0,1.25,0.0,2.75,0.0
5,13,2.076923076923077,1.3846153846153846,0.6923076923076923,2.3846153846153846,1.1538461538461537,0.0,1.1538461538461537,0.07692307692307693,2.3076923076923075,0.07692307692307693
6,6,3.5,2.0,1.5,3.3333333333333335,1.8333333333333333,0.0,1.5,0.0,3.3333333333333335,0.0
7,11,3.0,1.7272727272727273,1.2727272727272727,2.909090909090909,1.0,0.0,1.8181818181818181,0.09090909090909091,2.8181818181818183,0.09090909090909091
8,13,3.3846153846153846,1.8461538461538463,1.5384615384615385,2.4615384615384617,1.5384615384615385,0.0,0.9230769230769231,0.0,2.4615384615384617,0.0
9,4,3.0,1.75,1.25,1.75,0.75,0.0,1.0,0.0,1.75,0.0
10,5,2.4,1.8,0.6,2.8,1.4,0.0,1.2,0.2,2.6,0.2
11,2,3.5,2.0,1.5,4.0,1.0,0.5,2.5,0.0,3.5,0.5
12,5,4.4,3.0,1.4,1.6,0.8,0.0,0.6,0.2,1.4,0.2
13,6,1.1666666666666667,0.8333333333333334,0.3333333333333333,2.6666666666666665,1.6666666666666667,0.0,1.0,0.0,2.6666666666666665,0.0
14,7,1.5714285714285714,0.7142857142857143,0.8571428571428571,4.285714285714286,1.8571428571428572,0.14285714285714285,2.142857142857143,0.14285714285714285,4.0,0.2857142857142857
15,5,2.6,1.6,1.0,5.2,2.4,0.0,2.6,0.2,5.0,0.2
16,1,1.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
17,2,2.0,1.0,1.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0
