Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
0,7,2.142857142857143,1.5714285714285714,0.5714285714285714,2.7142857142857144,0.8571428571428571,0.0,1.5714285714285714,0.2857142857142857,2.4285714285714284,0.2857142857142857
1,4,3.0,2.75,0.25,2.0,0.75,0.0,1.25,0.0,2.0,0.0
2,5,2.2,1.8,0.4,4.4,2.4,0.0,1.8,0.2,4.2,0.2
3,3,2.0,1.3333333333333333,0.6666666666666666,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0
4,14,2.7857142857142856,1.3571428571428572,1.4285714285714286,2.9285714285714284,1.2142857142857142,0.21428571428571427,1.4285714285714286,0.07142857142857142,2.642857142857143,0.2857142857142857
5,13,2.6923076923076925,1.8461538461538463,0.8461538461538461,2.6153846153846154,1.0,0.07692307692307693,1.5384615384615385,0.0,2.5384615384615383,0.07692307692307693
6,10,2.0,1.5,0.5,3.6,1.0,0.1,2.3,0.2,3.3,0.3
7,8,2.75,1.875,0.875,3.75,1.5,0.0,2.25,0.0,3.75,0.0
8,8,4.5,3.0,1.5,2.875,0.75,0.125,1.875,0.125,2.625,0.25
9,13,2.5384615384615383,2.0,0.5384615384615384,3.4615384615384617,1.3846153846153846,0.07692307692307693,1.7692307692307692,0.23076923076923078,3.1538461538461537,0.3076923076923077
10,7,1.5714285714285714,0.8571428571428571,0.7142857142857143,4.142857142857143,2.2857142857142856,0.0,1.8571428571428572,0.0,4.142857142857143,0.0
11,11,2.0,1.3636363636363635,0.6363636363636364,2.909090909090909,0.9090909090909091,0.18181818181818182,1.6363636363636365,0.18181818181818182,2.5454545454545454,0.36363636363636365
12,7,2.0,1.4285714285714286,0.5714285714285714,4.0,1.2857142857142858,0.14285714285714285,2.5714285714285716,0.0,3.857142857142857,0.14285714285714285
13,2,3.0,1.5,1.5,4.5,1.5,0.0,2.5,0.5,4.0,0.5
14,6,3.3333333333333335,1.6666666666666667,1.6666666666666667,3.5,1.0,0.16666666666666666,2.3333333333333335,0.0,3.3333333333333335,0.16666666666666666
15,8,1.625,1.125,0.5,3.5,1.625,0.125,1.75,0.0,3.375,0.125
16,1,5.0,3.0,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
17,2,2.5,1.0,1.5,2.5,0.0,0.5,2.0,0.0,2.0,0.5
18,1,2.0,1.0,1.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
20,2,1.0,1.0,0.0,3.0,1.5,0.0,1.0,0.5,2.5,0.5
