Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,4.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
1,1,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
2,1,5.0,3.0,2.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
3,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
5,1,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
6,1,4.0,4.0,0.0,3.0,1.0,0.0,1.0,1.0,2.0,1.0
8,2,3.5,2.5,1.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
9,3,3.6666666666666665,2.6666666666666665,1.0,1.6666666666666667,0.6666666666666666,0.0,1.0,0.0,1.6666666666666667,0.0
11,2,4.5,2.5,2.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
13,1,4.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
15,2,3.0,0.0,3.0,3.5,1.5,0.0,2.0,0.0,3.5,0.0
18,1,2.0,1.0,1.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
19,1,6.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
