Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,3,0.6666666666666666,0.6666666666666666,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
-1,5,3.2,2.8,0.4,2.2,0.6,0.0,1.6,0.0,2.2,0.0
0,5,3.8,2.4,1.4,2.6,1.6,0.0,1.0,0.0,2.6,0.0
1,8,2.375,1.375,1.0,4.0,1.5,0.125,2.375,0.0,3.875,0.125
2,9,2.6666666666666665,1.5555555555555556,1.1111111111111112,2.4444444444444446,0.8888888888888888,0.0,1.4444444444444444,0.1111111111111111,2.3333333333333335,0.1111111111111111
3,10,2.8,1.6,1.2,4.6,1.4,0.1,3.0,0.1,4.4,0.2
4,13,2.076923076923077,1.1538461538461537,0.9230769230769231,2.769230769230769,0.8461538461538461,0.07692307692307693,1.8461538461538463,0.0,2.6923076923076925,0.07692307692307693
5,12,2.5,1.6666666666666667,0.8333333333333334,3.4166666666666665,1.25,0.16666666666666666,1.9166666666666667,0.08333333333333333,3.1666666666666665,0.25
6,18,2.5555555555555554,1.5555555555555556,1.0,2.888888888888889,0.8333333333333334,0.1111111111111111,1.9444444444444444,0.0,2.7777777777777777,0.1111111111111111
7,22,3.090909090909091,2.0454545454545454,1.0454545454545454,3.090909090909091,0.7272727272727273,0.045454545454545456,2.272727272727273,0.045454545454545456,3.0,0.09090909090909091
8,16,2.75,1.8125,0.9375,3.0625,1.0,0.0625,1.9375,0.0625,2.9375,0.125
9,12,2.75,1.6666666666666667,1.0833333333333333,3.25,1.1666666666666667,0.08333333333333333,1.8333333333333333,0.16666666666666666,3.0,0.25
10,14,2.857142857142857,1.6428571428571428,1.2142857142857142,3.357142857142857,1.4285714285714286,0.0,1.7857142857142858,0.14285714285714285,3.2142857142857144,0.14285714285714285
11,12,2.5,1.75,0.75,4.5,1.1666666666666667,0.0,3.0833333333333335,0.25,4.25,0.25
12,12,2.9166666666666665,1.5833333333333333,1.3333333333333333,3.8333333333333335,1.5833333333333333,0.0,2.1666666666666665,0.08333333333333333,3.75,0.08333333333333333
13,10,2.3,1.4,0.9,2.6,0.9,0.0,1.5,0.2,2.4,0.2
14,6,2.0,1.1666666666666667,0.8333333333333334,2.3333333333333335,0.6666666666666666,0.0,1.5,0.16666666666666666,2.1666666666666665,0.16666666666666666
15,6,2.8333333333333335,2.0,0.8333333333333334,3.0,1.0,0.0,1.8333333333333333,0.16666666666666666,2.8333333333333335,0.16666666666666666
16,10,3.5,1.9,1.6,3.9,1.3,0.1,2.3,0.2,3.6,0.3
17,3,3.0,1.0,2.0,3.6666666666666665,1.3333333333333333,0.3333333333333333,2.0,0.0,3.3333333333333335,0.3333333333333333
18,1,4.0,4.0,0.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
19,1,4.0,1.0,3.0,6.0,2.0,0.0,4.0,0.0,6.0,0.0
21,1,5.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
