Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,3.0,1.5,1.5,5.0,3.5,0.0,1.5,0.0,5.0,0.0
1,1,4.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2,4,2.0,1.25,0.75,4.0,2.25,0.0,1.75,0.0,4.0,0.0
3,2,2.5,1.0,1.5,3.5,1.0,0.0,2.5,0.0,3.5,0.0
4,3,4.333333333333333,2.6666666666666665,1.6666666666666667,5.0,3.3333333333333335,0.0,1.6666666666666667,0.0,5.0,0.0
5,2,3.5,1.0,2.5,4.0,3.0,0.5,0.5,0.0,3.5,0.5
6,6,3.3333333333333335,1.8333333333333333,1.5,3.0,1.5,0.0,1.5,0.0,3.0,0.0
7,6,2.8333333333333335,2.0,0.8333333333333334,3.3333333333333335,1.6666666666666667,0.0,1.5,0.16666666666666666,3.1666666666666665,0.16666666666666666
8,9,3.0,1.6666666666666667,1.3333333333333333,3.2222222222222223,2.0,0.0,1.1111111111111112,0.1111111111111111,3.111111111111111,0.1111111111111111
9,3,3.3333333333333335,3.0,0.3333333333333333,2.3333333333333335,1.6666666666666667,0.0,0.6666666666666666,0.0,2.3333333333333335,0.0
10,8,2.75,1.75,1.0,1.625,1.125,0.125,0.375,0.0,1.5,0.125
11,4,2.5,1.25,1.25,3.5,1.25,0.25,2.0,0.0,3.25,0.25
12,1,2.0,1.0,1.0,5.0,4.0,0.0,1.0,0.0,5.0,0.0
13,3,3.3333333333333335,2.6666666666666665,0.6666666666666666,3.0,1.0,1.0,1.0,0.0,2.0,1.0
14,1,1.0,1.0,0.0,5.0,1.0,0.0,4.0,0.0,5.0,0.0
15,2,2.0,1.5,0.5,4.0,3.0,0.0,1.0,0.0,4.0,0.0
16,3,2.3333333333333335,2.0,0.3333333333333333,4.333333333333333,1.6666666666666667,0.0,2.6666666666666665,0.0,4.333333333333333,0.0
17,1,1.0,1.0,0.0,5.0,3.0,0.0,1.0,1.0,4.0,1.0
18,1,3.0,1.0,2.0,8.0,6.0,0.0,2.0,0.0,8.0,0.0
19,1,2.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
20,1,7.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
