Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,1.5,1.0,0.5,1.5,0.0,0.0,1.5,0.0,1.5,0.0
2,2,3.0,2.5,0.5,3.5,0.5,0.0,3.0,0.0,3.5,0.0
4,1,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
5,1,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
6,3,2.3333333333333335,1.6666666666666667,0.6666666666666666,2.6666666666666665,1.0,0.0,1.6666666666666667,0.0,2.6666666666666665,0.0
7,2,3.5,2.0,1.5,3.0,0.5,0.5,2.0,0.0,2.5,0.5
9,1,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
10,1,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
11,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
12,1,7.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
13,3,3.0,2.6666666666666665,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,2.6666666666666665,0.0
14,1,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
