Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,1.0,0.6666666666666666,0.3333333333333333,2.0,0.6666666666666666,0.0,1.3333333333333333,0.0,2.0,0.0
4,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,3,1.3333333333333333,1.3333333333333333,0.0,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0
6,1,2.0,1.0,1.0,4.0,3.0,0.0,1.0,0.0,4.0,0.0
7,2,2.0,1.0,1.0,2.5,1.0,0.5,1.0,0.0,2.0,0.5
8,2,2.0,2.0,0.0,2.5,0.0,0.0,2.0,0.5,2.0,0.5
10,4,3.0,2.25,0.75,2.0,1.0,0.0,0.75,0.25,1.75,0.25
11,3,4.0,2.6666666666666665,1.3333333333333333,2.0,1.0,0.0,1.0,0.0,2.0,0.0
12,2,1.0,0.5,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
13,1,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
14,1,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
15,2,2.0,2.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
18,2,2.0,1.0,1.0,3.5,1.0,0.5,2.0,0.0,3.0,0.5
