Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,2.0,2.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
0,6,3.3333333333333335,2.3333333333333335,1.0,5.5,2.1666666666666665,0.3333333333333333,2.8333333333333335,0.16666666666666666,5.0,0.5
1,2,2.5,2.5,0.0,2.0,1.0,0.5,0.5,0.0,1.5,0.5
2,5,2.4,1.8,0.6,5.0,2.4,0.2,2.4,0.0,4.8,0.2
3,4,3.0,1.25,1.75,4.5,1.25,0.0,3.25,0.0,4.5,0.0
4,6,1.8333333333333333,1.6666666666666667,0.16666666666666666,2.8333333333333335,1.6666666666666667,0.0,1.0,0.16666666666666666,2.6666666666666665,0.16666666666666666
5,3,3.6666666666666665,2.6666666666666665,1.0,2.3333333333333335,0.3333333333333333,0.0,2.0,0.0,2.3333333333333335,0.0
6,3,5.333333333333333,3.3333333333333335,2.0,3.0,1.6666666666666667,0.0,1.0,0.3333333333333333,2.6666666666666665,0.3333333333333333
7,6,2.6666666666666665,2.0,0.6666666666666666,3.0,1.5,0.0,1.3333333333333333,0.16666666666666666,2.8333333333333335,0.16666666666666666
8,5,2.6,1.8,0.8,4.4,1.6,0.0,2.4,0.4,4.0,0.4
9,6,1.8333333333333333,1.0,0.8333333333333334,3.5,1.8333333333333333,0.0,1.6666666666666667,0.0,3.5,0.0
10,8,3.125,1.5,1.625,3.625,2.0,0.0,1.625,0.0,3.625,0.0
11,7,1.8571428571428572,1.0,0.8571428571428571,3.2857142857142856,1.4285714285714286,0.0,1.8571428571428572,0.0,3.2857142857142856,0.0
12,4,3.0,2.25,0.75,2.5,1.0,0.0,1.5,0.0,2.5,0.0
13,3,2.0,1.3333333333333333,0.6666666666666666,3.6666666666666665,1.3333333333333333,0.3333333333333333,2.0,0.0,3.3333333333333335,0.3333333333333333
14,7,3.7142857142857144,3.2857142857142856,0.42857142857142855,1.8571428571428572,0.7142857142857143,0.0,1.1428571428571428,0.0,1.8571428571428572,0.0
15,2,0.5,0.5,0.0,5.5,2.0,0.0,3.5,0.0,5.5,0.0
16,1,4.0,4.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
17,3,2.3333333333333335,1.3333333333333333,1.0,4.333333333333333,1.6666666666666667,0.6666666666666666,2.0,0.0,3.6666666666666665,0.6666666666666666
19,2,2.5,2.0,0.5,2.0,1.0,0.0,1.0,0.0,2.0,0.0
