Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
4,2,2.0,2.0,0.0,1.5,0.5,0.0,1.0,0.0,1.5,0.0
5,5,3.4,2.6,0.8,1.8,1.0,0.0,0.8,0.0,1.8,0.0
6,3,1.6666666666666667,1.6666666666666667,0.0,3.0,0.6666666666666666,0.0,2.3333333333333335,0.0,3.0,0.0
7,1,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
8,4,3.25,2.75,0.5,4.5,2.25,0.0,2.0,0.25,4.25,0.25
9,2,3.5,1.5,2.0,1.0,0.5,0.0,0.5,0.0,1.0,0.0
10,1,1.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0
12,2,1.0,0.5,0.5,2.5,0.5,0.5,1.5,0.0,2.0,0.5
13,1,5.0,4.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
14,1,3.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
15,3,2.3333333333333335,2.0,0.3333333333333333,1.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,1.3333333333333333,0.0
16,1,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
