Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-4,1,5.0,1.0,4.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
-2,1,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
0,4,1.75,1.5,0.25,2.75,1.75,0.0,1.0,0.0,2.75,0.0
1,9,2.111111111111111,1.3333333333333333,0.7777777777777778,2.2222222222222223,0.7777777777777778,0.0,1.4444444444444444,0.0,2.2222222222222223,0.0
2,6,2.3333333333333335,1.5,0.8333333333333334,3.1666666666666665,1.3333333333333333,0.16666666666666666,1.6666666666666667,0.0,3.0,0.16666666666666666
3,9,1.6666666666666667,0.7777777777777778,0.8888888888888888,1.4444444444444444,0.5555555555555556,0.0,0.8888888888888888,0.0,1.4444444444444444,0.0
4,6,2.8333333333333335,2.1666666666666665,0.6666666666666666,4.166666666666667,1.6666666666666667,0.16666666666666666,2.3333333333333335,0.0,4.0,0.16666666666666666
5,10,2.6,1.7,0.9,2.9,1.0,0.0,1.8,0.1,2.8,0.1
6,9,1.6666666666666667,1.2222222222222223,0.4444444444444444,1.6666666666666667,0.7777777777777778,0.0,0.7777777777777778,0.1111111111111111,1.5555555555555556,0.1111111111111111
7,11,2.5454545454545454,1.6363636363636365,0.9090909090909091,2.5454545454545454,1.0,0.0,1.5454545454545454,0.0,2.5454545454545454,0.0
8,10,2.1,1.5,0.6,1.8,0.8,0.0,1.0,0.0,1.8,0.0
9,9,3.888888888888889,2.2222222222222223,1.6666666666666667,1.8888888888888888,0.6666666666666666,0.0,1.1111111111111112,0.1111111111111111,1.7777777777777777,0.1111111111111111
10,13,2.3076923076923075,1.4615384615384615,0.8461538461538461,2.8461538461538463,1.2307692307692308,0.07692307692307693,1.4615384615384615,0.07692307692307693,2.6923076923076925,0.15384615384615385
11,3,2.6666666666666665,1.6666666666666667,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
12,6,3.3333333333333335,2.6666666666666665,0.6666666666666666,1.5,0.6666666666666666,0.0,0.8333333333333334,0.0,1.5,0.0
13,4,2.25,1.75,0.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
14,8,2.25,1.125,1.125,3.125,1.5,0.125,1.375,0.125,2.875,0.25
15,3,2.0,1.6666666666666667,0.3333333333333333,3.3333333333333335,2.0,0.0,1.0,0.3333333333333333,3.0,0.3333333333333333
16,5,3.0,1.8,1.2,2.6,1.0,0.0,1.4,0.2,2.4,0.2
17,2,2.5,1.0,1.5,4.5,3.0,0.0,1.5,0.0,4.5,0.0
18,2,6.0,3.5,2.5,2.5,1.5,0.0,1.0,0.0,2.5,0.0
19,1,4.0,0.0,4.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0
20,1,1.0,0.0,1.0,8.0,2.0,0.0,6.0,0.0,8.0,0.0
