Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,3.0,2.0,1.0,3.5,1.5,0.0,2.0,0.0,3.5,0.0
1,7,2.4285714285714284,1.2857142857142858,1.1428571428571428,3.857142857142857,1.8571428571428572,0.14285714285714285,1.8571428571428572,0.0,3.7142857142857144,0.14285714285714285
2,2,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
3,3,3.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
4,9,2.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.3333333333333333,0.0,0.8888888888888888,0.1111111111111111,2.2222222222222223,0.1111111111111111
5,7,3.142857142857143,2.0,1.1428571428571428,3.857142857142857,1.5714285714285714,0.0,2.2857142857142856,0.0,3.857142857142857,0.0
6,11,2.272727272727273,1.5454545454545454,0.7272727272727273,3.3636363636363638,1.2727272727272727,0.09090909090909091,1.9090909090909092,0.09090909090909091,3.1818181818181817,0.18181818181818182
7,5,3.0,1.8,1.2,4.2,1.4,0.2,2.6,0.0,4.0,0.2
8,14,2.7142857142857144,1.5,1.2142857142857142,2.5714285714285716,0.9285714285714286,0.0,1.5714285714285714,0.07142857142857142,2.5,0.07142857142857142
9,11,3.0,1.9090909090909092,1.0909090909090908,3.4545454545454546,1.3636363636363635,0.09090909090909091,2.0,0.0,3.3636363636363638,0.09090909090909091
10,17,3.176470588235294,1.6470588235294117,1.5294117647058822,3.8823529411764706,1.7647058823529411,0.0,2.0588235294117645,0.058823529411764705,3.823529411764706,0.058823529411764705
11,5,2.6,2.2,0.4,2.8,1.6,0.0,1.2,0.0,2.8,0.0
12,5,1.8,1.4,0.4,5.0,2.8,0.0,2.2,0.0,5.0,0.0
13,8,2.0,1.25,0.75,3.25,1.75,0.0,1.5,0.0,3.25,0.0
14,6,3.8333333333333335,2.3333333333333335,1.5,4.166666666666667,2.5,0.0,1.6666666666666667,0.0,4.166666666666667,0.0
15,5,3.0,1.4,1.6,3.2,1.0,0.0,2.0,0.2,3.0,0.2
16,3,1.3333333333333333,0.6666666666666666,0.6666666666666666,5.333333333333333,2.3333333333333335,0.0,3.0,0.0,5.333333333333333,0.0
17,3,3.3333333333333335,1.6666666666666667,1.6666666666666667,1.3333333333333333,0.3333333333333333,0.0,1.0,0.0,1.3333333333333333,0.0
