Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,0.0,0.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
0,3,2.0,1.6666666666666667,0.3333333333333333,4.333333333333333,1.0,0.0,3.0,0.3333333333333333,4.0,0.3333333333333333
1,1,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
2,6,2.1666666666666665,1.3333333333333333,0.8333333333333334,4.0,1.6666666666666667,0.0,2.3333333333333335,0.0,4.0,0.0
3,3,2.6666666666666665,1.6666666666666667,1.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
4,4,2.5,2.25,0.25,4.75,1.25,0.0,3.0,0.5,4.25,0.5
5,1,5.0,4.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
6,2,2.5,2.0,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
7,4,3.75,2.5,1.25,2.0,0.75,0.25,1.0,0.0,1.75,0.25
8,5,2.0,1.6,0.4,1.2,0.4,0.2,0.6,0.0,1.0,0.2
9,3,2.0,1.3333333333333333,0.6666666666666666,4.0,1.3333333333333333,0.0,2.6666666666666665,0.0,4.0,0.0
10,9,2.3333333333333335,1.8888888888888888,0.4444444444444444,2.3333333333333335,0.3333333333333333,0.1111111111111111,1.8888888888888888,0.0,2.2222222222222223,0.1111111111111111
11,2,2.0,2.0,0.0,2.5,1.0,0.0,1.5,0.0,2.5,0.0
12,2,4.0,3.0,1.0,1.5,0.5,0.0,1.0,0.0,1.5,0.0
13,2,4.0,3.0,1.0,3.5,1.5,0.0,2.0,0.0,3.5,0.0
14,3,3.3333333333333335,2.3333333333333335,1.0,3.3333333333333335,1.0,0.3333333333333333,2.0,0.0,3.0,0.3333333333333333
15,2,5.0,5.0,0.0,2.5,0.0,0.0,2.5,0.0,2.5,0.0
16,1,5.0,5.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
17,2,4.0,2.5,1.5,4.5,1.0,0.0,3.0,0.5,4.0,0.5
20,1,0.0,0.0,0.0,5.0,2.0,0.0,3.0,0.0,5.0,0.0
