Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-5,1,3.0,1.0,2.0,7.0,3.0,1.0,2.0,1.0,5.0,2.0
-2,1,0.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,3.0,0.0
-1,5,4.0,2.6,1.4,1.8,0.8,0.0,0.8,0.2,1.6,0.2
0,13,2.4615384615384617,1.1538461538461537,1.3076923076923077,2.923076923076923,1.0769230769230769,0.15384615384615385,1.6153846153846154,0.07692307692307693,2.6923076923076925,0.23076923076923078
1,10,1.8,1.2,0.6,3.5,1.4,0.0,2.0,0.1,3.4,0.1
2,14,2.142857142857143,1.2857142857142858,0.8571428571428571,3.857142857142857,1.5714285714285714,0.14285714285714285,2.0,0.14285714285714285,3.5714285714285716,0.2857142857142857
3,15,1.8666666666666667,1.1333333333333333,0.7333333333333333,2.6666666666666665,1.2666666666666666,0.13333333333333333,1.2,0.06666666666666667,2.466666666666667,0.2
4,20,2.45,1.45,1.0,2.9,1.3,0.05,1.5,0.05,2.8,0.1
5,24,2.3333333333333335,1.25,1.0833333333333333,2.25,0.8333333333333334,0.041666666666666664,1.3333333333333333,0.041666666666666664,2.1666666666666665,0.08333333333333333
6,19,2.8421052631578947,1.6842105263157894,1.1578947368421053,3.4210526315789473,1.5789473684210527,0.0,1.8421052631578947,0.0,3.4210526315789473,0.0
7,36,2.9166666666666665,1.75,1.1666666666666667,2.5277777777777777,0.8888888888888888,0.027777777777777776,1.5833333333333333,0.027777777777777776,2.4722222222222223,0.05555555555555555
8,30,2.6,1.5333333333333334,1.0666666666666667,3.5,1.7,0.06666666666666667,1.6666666666666667,0.06666666666666667,3.3666666666666667,0.13333333333333333
9,31,1.935483870967742,1.1935483870967742,0.7419354838709677,3.2903225806451615,1.5161290322580645,0.0967741935483871,1.4516129032258065,0.22580645161290322,2.967741935483871,0.3225806451612903
10,21,2.1904761904761907,1.2380952380952381,0.9523809523809523,4.857142857142857,1.8571428571428572,0.19047619047619047,2.7142857142857144,0.09523809523809523,4.571428571428571,0.2857142857142857
11,22,2.6363636363636362,1.5454545454545454,1.0909090909090908,2.409090909090909,1.1818181818181819,0.0,1.1363636363636365,0.09090909090909091,2.3181818181818183,0.09090909090909091
12,18,2.888888888888889,1.6666666666666667,1.2222222222222223,2.611111111111111,1.3333333333333333,0.0,1.1666666666666667,0.1111111111111111,2.5,0.1111111111111111
13,21,3.0476190476190474,1.6666666666666667,1.380952380952381,3.5714285714285716,1.3333333333333333,0.19047619047619047,2.0,0.047619047619047616,3.3333333333333335,0.23809523809523808
14,13,2.1538461538461537,0.8461538461538461,1.3076923076923077,2.8461538461538463,1.2307692307692308,0.0,1.3846153846153846,0.23076923076923078,2.6153846153846154,0.23076923076923078
15,23,2.130434782608696,1.173913043478261,0.9565217391304348,3.608695652173913,1.3478260869565217,0.17391304347826086,1.9565217391304348,0.13043478260869565,3.3043478260869565,0.30434782608695654
16,5,1.8,0.6,1.2,3.2,2.4,0.0,0.6,0.2,3.0,0.2
17,6,3.0,1.3333333333333333,1.6666666666666667,3.1666666666666665,1.1666666666666667,0.16666666666666666,1.6666666666666667,0.16666666666666666,2.8333333333333335,0.3333333333333333
19,1,2.0,2.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
