Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,2,2.5,1.5,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
1,1,5.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,3.0,2.0
2,2,2.0,2.0,0.0,4.0,1.5,0.0,2.5,0.0,4.0,0.0
3,2,3.0,3.0,0.0,3.0,0.5,0.0,2.5,0.0,3.0,0.0
4,2,2.5,1.5,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
5,1,3.0,3.0,0.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
6,1,3.0,2.0,1.0,6.0,4.0,0.0,2.0,0.0,6.0,0.0
7,3,2.6666666666666665,2.3333333333333335,0.3333333333333333,4.333333333333333,2.3333333333333335,0.3333333333333333,1.6666666666666667,0.0,4.0,0.3333333333333333
9,2,1.5,1.0,0.5,6.0,3.5,0.0,2.5,0.0,6.0,0.0
10,2,3.0,2.0,1.0,2.5,1.5,0.5,0.5,0.0,2.0,0.5
11,1,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
13,1,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
14,2,1.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
15,2,1.0,1.0,0.0,4.5,0.5,0.0,4.0,0.0,4.5,0.0
16,1,2.0,1.0,1.0,6.0,3.0,0.0,3.0,0.0,6.0,0.0
17,2,5.0,3.0,2.0,3.0,0.5,0.0,2.5,0.0,3.0,0.0
