Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-2,1,3.0,3.0,0.0,6.0,1.0,0.0,5.0,0.0,6.0,0.0
0,8,2.5,2.0,0.5,3.375,1.0,0.0,2.125,0.25,3.125,0.25
1,5,3.0,2.0,1.0,5.0,2.4,0.0,2.2,0.4,4.6,0.4
2,4,3.0,2.75,0.25,3.75,1.0,0.25,2.5,0.0,3.5,0.25
3,3,2.6666666666666665,2.0,0.6666666666666666,2.6666666666666665,1.0,0.0,1.6666666666666667,0.0,2.6666666666666665,0.0
4,5,2.6,1.6,1.0,3.0,1.0,0.0,1.6,0.4,2.6,0.4
5,7,2.142857142857143,1.2857142857142858,0.8571428571428571,4.428571428571429,2.4285714285714284,0.14285714285714285,1.7142857142857142,0.14285714285714285,4.142857142857143,0.2857142857142857
6,4,2.0,1.5,0.5,3.5,1.5,0.0,1.75,0.25,3.25,0.25
7,9,2.4444444444444446,1.6666666666666667,0.7777777777777778,3.7777777777777777,1.6666666666666667,0.0,2.111111111111111,0.0,3.7777777777777777,0.0
8,10,2.1,1.4,0.7,3.4,1.5,0.0,1.9,0.0,3.4,0.0
9,8,2.375,2.0,0.375,3.125,1.0,0.0,2.0,0.125,3.0,0.125
10,3,4.333333333333333,3.0,1.3333333333333333,2.6666666666666665,1.3333333333333333,0.0,1.0,0.3333333333333333,2.3333333333333335,0.3333333333333333
11,2,2.0,1.5,0.5,3.5,2.0,0.0,1.5,0.0,3.5,0.0
12,9,3.111111111111111,2.2222222222222223,0.8888888888888888,3.7777777777777777,1.4444444444444444,0.0,2.2222222222222223,0.1111111111111111,3.6666666666666665,0.1111111111111111
13,9,3.0,2.0,1.0,4.0,2.111111111111111,0.0,1.8888888888888888,0.0,4.0,0.0
15,5,3.0,1.6,1.4,3.0,0.6,0.2,2.0,0.2,2.6,0.4
17,1,4.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
18,2,2.5,2.0,0.5,2.0,0.5,0.0,1.5,0.0,2.0,0.0
