Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-1,1,5.0,3.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
0,2,4.0,2.5,1.5,4.0,2.0,0.5,1.0,0.5,3.0,1.0
2,1,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
3,3,2.0,1.3333333333333333,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.0,1.3333333333333333,0.0,2.6666666666666665,0.0
4,3,2.3333333333333335,1.6666666666666667,0.6666666666666666,3.0,1.0,0.0,2.0,0.0,3.0,0.0
5,2,3.0,1.5,1.5,0.5,0.5,0.0,0.0,0.0,0.5,0.0
6,2,4.5,2.5,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
7,3,4.0,2.0,2.0,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0
8,2,1.5,0.0,1.5,2.5,1.0,0.0,1.5,0.0,2.5,0.0
9,6,2.8333333333333335,2.3333333333333335,0.5,1.6666666666666667,0.3333333333333333,0.0,1.3333333333333333,0.0,1.6666666666666667,0.0
11,6,2.6666666666666665,1.5,1.1666666666666667,2.3333333333333335,1.1666666666666667,0.16666666666666666,1.0,0.0,2.1666666666666665,0.16666666666666666
13,4,3.5,1.25,2.25,4.0,1.75,0.25,1.75,0.25,3.5,0.5
14,1,3.0,2.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0
15,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
17,1,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
