Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,5,2.8,1.2,1.6,4.6,1.2,0.0,3.4,0.0,4.6,0.0
1,2,2.5,0.0,2.5,5.0,3.0,0.0,2.0,0.0,5.0,0.0
2,3,3.0,1.6666666666666667,1.3333333333333333,4.0,1.3333333333333333,0.0,2.3333333333333335,0.3333333333333333,3.6666666666666665,0.3333333333333333
3,2,3.0,1.0,2.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
4,2,1.5,0.5,1.0,5.5,2.0,0.0,3.5,0.0,5.5,0.0
5,5,1.6,1.4,0.2,4.2,1.6,0.0,2.6,0.0,4.2,0.0
6,6,2.8333333333333335,1.1666666666666667,1.6666666666666667,3.8333333333333335,2.1666666666666665,0.3333333333333333,1.1666666666666667,0.16666666666666666,3.3333333333333335,0.5
7,13,2.923076923076923,1.9230769230769231,1.0,4.538461538461538,1.7692307692307692,0.0,2.6153846153846154,0.15384615384615385,4.384615384615385,0.15384615384615385
8,11,3.272727272727273,1.9090909090909092,1.3636363636363635,4.2727272727272725,1.6363636363636365,0.09090909090909091,2.1818181818181817,0.36363636363636365,3.8181818181818183,0.45454545454545453
9,3,4.333333333333333,2.0,2.3333333333333335,5.666666666666667,2.6666666666666665,0.3333333333333333,2.3333333333333335,0.3333333333333333,5.0,0.6666666666666666
10,5,3.6,2.4,1.2,4.2,2.2,0.0,2.0,0.0,4.2,0.0
11,1,1.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
12,3,4.0,2.3333333333333335,1.6666666666666667,3.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,0.0,2.6666666666666665,0.3333333333333333
13,3,1.3333333333333333,0.3333333333333333,1.0,4.0,2.3333333333333335,0.0,1.6666666666666667,0.0,4.0,0.0
14,5,3.0,1.2,1.8,3.2,1.6,0.0,1.6,0.0,3.2,0.0
15,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,3,2.6666666666666665,1.0,1.6666666666666667,6.0,2.6666666666666665,0.3333333333333333,2.3333333333333335,0.6666666666666666,5.0,1.0
17,1,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0
20,1,0.0,0.0,0.0,5.0,3.0,0.0,2.0,0.0,5.0,0.0
21,1,3.0,2.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0.0
