Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
0,4,3.25,1.75,1.5,4.5,1.75,0.5,2.0,0.25,3.75,0.75
1,5,3.2,1.8,1.4,2.6,1.2,0.2,1.0,0.2,2.2,0.4
2,2,3.5,2.5,1.0,2.0,0.5,0.0,1.5,0.0,2.0,0.0
3,12,3.1666666666666665,2.0833333333333335,1.0833333333333333,4.083333333333333,1.75,0.0,2.1666666666666665,0.16666666666666666,3.9166666666666665,0.16666666666666666
4,9,3.111111111111111,2.111111111111111,1.0,3.3333333333333335,1.3333333333333333,0.0,2.0,0.0,3.3333333333333335,0.0
5,15,2.2,1.2,1.0,3.466666666666667,1.1333333333333333,0.0,2.1333333333333333,0.2,3.2666666666666666,0.2
6,8,3.625,1.75,1.875,4.5,2.375,0.125,1.875,0.125,4.25,0.25
7,7,2.2857142857142856,1.0,1.2857142857142858,3.142857142857143,2.0,0.0,0.8571428571428571,0.2857142857142857,2.857142857142857,0.2857142857142857
8,10,2.5,1.4,1.1,3.1,1.3,0.1,1.6,0.1,2.9,0.2
9,10,2.7,1.5,1.2,3.4,1.1,0.0,2.2,0.1,3.3,0.1
10,11,2.5454545454545454,1.4545454545454546,1.0909090909090908,3.272727272727273,2.0,0.0,1.2727272727272727,0.0,3.272727272727273,0.0
11,12,2.8333333333333335,1.5,1.3333333333333333,3.8333333333333335,1.6666666666666667,0.0,2.0833333333333335,0.08333333333333333,3.75,0.08333333333333333
12,9,3.3333333333333335,2.0,1.3333333333333333,2.888888888888889,1.4444444444444444,0.0,1.3333333333333333,0.1111111111111111,2.7777777777777777,0.1111111111111111
13,5,3.2,1.8,1.4,3.2,1.6,0.2,1.4,0.0,3.0,0.2
14,5,2.2,1.4,0.8,2.8,1.6,0.0,1.2,0.0,2.8,0.0
15,8,3.5,2.375,1.125,3.125,1.0,0.125,1.75,0.25,2.75,0.375
16,6,1.6666666666666667,1.0,0.6666666666666666,3.8333333333333335,1.1666666666666667,0.3333333333333333,2.3333333333333335,0.0,3.5,0.3333333333333333
17,1,3.0,2.0,1.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
20,1,4.0,4.0,0.0,7.0,1.0,1.0,4.0,1.0,5.0,2.0
21,1,3.0,2.0,1.0,6.0,0.0,1.0,3.0,2.0,3.0,3.0
