Temperature,Match,Total Goal,Home Goal,Away Goal,Total Card,Home Yellow Card,Home Red Card,Away Yellow Card,Away Red Card,Total Yellow Card,Total Red Card
-3,1,2.0,1.0,1.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0
-2,1,3.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
-1,5,3.2,1.6,1.6,5.6,1.8,0.0,3.4,0.4,5.2,0.4
0,14,3.0714285714285716,1.0714285714285714,2.0,2.857142857142857,1.3571428571428572,0.0,1.4285714285714286,0.07142857142857142,2.7857142857142856,0.07142857142857142
1,15,2.066666666666667,0.6,1.4666666666666666,3.533333333333333,1.9333333333333333,0.06666666666666667,1.4,0.13333333333333333,3.3333333333333335,0.2
2,16,1.8125,0.625,1.1875,4.0,1.5,0.125,2.3125,0.0625,3.8125,0.1875
3,19,3.1052631578947367,1.105263157894737,2.0,4.578947368421052,2.0526315789473686,0.10526315789473684,2.210526315789474,0.21052631578947367,4.2631578947368425,0.3157894736842105
4,21,2.380952380952381,0.8095238095238095,1.5714285714285714,3.857142857142857,1.8571428571428572,0.14285714285714285,1.8571428571428572,0.0,3.7142857142857144,0.14285714285714285
5,19,2.6315789473684212,0.9473684210526315,1.6842105263157894,2.8421052631578947,1.105263157894737,0.15789473684210525,1.4736842105263157,0.10526315789473684,2.5789473684210527,0.2631578947368421
6,34,2.6470588235294117,1.088235294117647,1.5588235294117647,3.7058823529411766,1.6176470588235294,0.0,1.911764705882353,0.17647058823529413,3.5294117647058822,0.17647058823529413
7,20,2.8,0.9,1.9,3.35,1.85,0.1,1.35,0.05,3.2,0.15
8,28,3.107142857142857,1.1428571428571428,1.9642857142857142,3.857142857142857,2.0714285714285716,0.03571428571428571,1.7142857142857142,0.03571428571428571,3.7857142857142856,0.07142857142857142
9,22,3.0454545454545454,1.1818181818181819,1.8636363636363635,3.0,1.5909090909090908,0.09090909090909091,1.3181818181818181,0.0,2.909090909090909,0.09090909090909091
10,22,2.5,1.0909090909090908,1.4090909090909092,4.090909090909091,2.0454545454545454,0.0,2.0,0.045454545454545456,4.045454545454546,0.045454545454545456
11,23,2.739130434782609,1.2608695652173914,1.4782608695652173,3.130434782608696,1.5217391304347827,0.043478260869565216,1.4782608695652173,0.08695652173913043,3.0,0.13043478260869565
12,19,2.210526315789474,0.9473684210526315,1.263157894736842,3.526315789473684,1.4210526315789473,0.10526315789473684,1.894736842105263,0.10526315789473684,3.3157894736842106,0.21052631578947367
13,18,3.2222222222222223,1.5,1.7222222222222223,3.388888888888889,1.5555555555555556,0.0,1.7777777777777777,0.05555555555555555,3.3333333333333335,0.05555555555555555
14,16,2.5,1.1875,1.3125,3.8125,1.6875,0.0625,1.75,0.3125,3.4375,0.375
15,16,3.0625,0.9375,2.125,4.125,1.8125,0.0625,2.1875,0.0625,4.0,0.125
16,9,3.111111111111111,1.1111111111111112,2.0,3.888888888888889,1.7777777777777777,0.1111111111111111,2.0,0.0,3.7777777777777777,0.1111111111111111
17,7,2.857142857142857,0.7142857142857143,2.142857142857143,2.2857142857142856,0.8571428571428571,0.2857142857142857,1.0,0.14285714285714285,1.8571428571428572,0.42857142857142855
18,4,3.0,1.5,1.5,2.25,1.0,0.0,1.0,0.25,2.0,0.25
19,1,4.0,2.0,2.0,4.0,2.0,0.0,2.0,0.0,4.0,0.0
